"bloco","inicio","fim","sim_otimo","alpha_otimo","beta_otimo","tipo_melhor","convergencia"
1,0,0.49,-1.61295819932678,410.88856131524,4.96136417419562,"light",0
2,0.01,0.5,-1.58298361289678,362.785497165444,4.32082747751661,"light",0
3,0.02,0.51,-1.59960814567239,337.697978080769,3.80105900518531,"light",0
4,0.03,0.52,-1.61372135471772,398.396148453279,4.09219530486673,"light",0
5,0.04,0.53,-1.62451133821154,5.21928929061996,0.0459010379239562,"light",0
6,0.05,0.54,-1.60241490146329,132.958689298864,1.4032986475479,"light",0
7,0.06,0.55,-1.52494813298597,379.999232468391,4.88196541933397,"light",0
8,0.07,0.56,-1.48501841859115,320.218465557724,4.44053534352883,"light",0
9,0.08,0.57,-1.44787890453836,91.6234509773964,1.32093958318538,"light",0
10,0.09,0.58,-1.42193262322844,339.510227894393,4.87114113233407,"light",0
11,0.1,0.59,-1.42293449453639,363.150337459272,5.34355164700984,"light",0
12,0.11,0.6,-1.35308540971598,20.2742227251813,0.346530568260099,"light",0
13,0.12,0.61,-1.347698074327,296.915490733583,5.12795127284869,"light",0
14,0.13,0.62,-1.33708004289821,10.9506558206036,0.163474347088299,"light",0
15,0.14,0.63,-1.15812665895146,1.23046142467609,0.0111541232356553,"heavy",0
16,0.15,0.64,-1.04893240306407,1.04893609336537,0.0090636920505781,"heavy",0
17,0.16,0.65,-1.04683455128621,0.990408187266538,0.00763698135739372,"heavy",0
18,0.17,0.66,-0.957945269149165,1.03160186801781,0.0113754686929283,"heavy",0
19,0.18,0.67,-0.955166451699961,0.843434848354064,0.00582198097087198,"heavy",0
20,0.19,0.68,-0.993559228937209,1.00337049607762,0.0106971577075883,"heavy",0
21,0.2,0.69,-1.01794977349713,1.15263826854756,0.0159589656954528,"heavy",0
22,0.21,0.7,-1.77401518813947,0.0899361991135913,1e-08,"heavy",0
23,0.22,0.71,-1.07189027883931,1.11885572231797,0.0144199687072588,"heavy",0
24,0.23,0.72,-1.09241952855092,1.1070557279302,0.0138401197393414,"heavy",0
25,0.24,0.73,-1.10419588662203,1.05054329660568,0.0120704386477542,"heavy",0
26,0.25,0.74,-2.74093658049821,0.0998991849909934,1e-08,"heavy",0
27,0.26,0.75,-2.74997358131789,0.100029696299098,1e-08,"heavy",0
28,0.27,0.76,-1.08936044721559,1.15852681131187,0.0153913167299672,"heavy",0
29,0.28,0.77,-2.28804464320742,0.0948783948208814,1e-08,"heavy",0
30,0.29,0.78,-2.74442888974049,0.0999646042068622,1e-08,"heavy",0
31,0.3,0.79,-2.27498064531886,0.0948055480427492,1e-08,"heavy",0
32,0.31,0.8,-1.04732697544449,1.20096392219767,0.0169959455911834,"heavy",0
33,0.32,0.81,-1.54314446796533,0.0883416262996308,1e-08,"heavy",0
34,0.33,0.82,-0.976554329243023,1.57369546691938,0.0315626729076742,"heavy",52
35,0.34,0.83,-0.950234912807792,1.6136726937019,0.0331476320341249,"heavy",0
36,0.35,0.84,-0.899198306861219,1.92593875986117,0.0466034303090808,"heavy",0
37,0.36,0.85,-0.860759761639462,1.90012822777631,0.0455132708294545,"heavy",0
38,0.37,0.86,-0.827890065171077,1.98954383829458,0.0490630090422463,"heavy",0
39,0.38,0.87,-0.807387761920623,1.66424178971356,0.0349010761584113,"heavy",0
40,0.39,0.88,-0.8009140651875,1.51302665946714,0.0281883046503961,"heavy",0
41,0.4,0.89,-0.775295203665036,1.58348379700902,0.0309050462163489,"heavy",0
42,0.41,0.9,-0.758304083478531,1.49518827524619,0.0275802430236026,"heavy",0
43,0.42,0.91,-0.733337387598998,1.59504565817264,0.0320858659732686,"heavy",0
44,0.43,0.92,-0.718546816840018,1.68638705333736,0.036216726810838,"heavy",0
45,0.44,0.93,-0.717483626002109,1.6972035059387,0.036700031029469,"heavy",0
46,0.45,0.94,-0.724664519002539,1.64227888752479,0.0341509084505497,"heavy",0
