time,mV
0,0.037
0.01,0.039
0.02,0.05
0.03,0.059
0.04,0.053
0.05,0.039
0.06,0.031
0.07,0.025
0.08,0.018
0.09,0.016
0.1,0.013
0.11,0.014
0.12,0.012
0.13,0.01
0.14,0.003
0.15,0.012
0.16,0.049
0.17,0.06
0.18,0.051
0.19,0.046
0.2,0.043
0.21,0.047
0.22,0.045
0.23,0.041
0.24,0.046
0.25,0.05
0.26,0.041
0.27,0.036
0.28,0.033
0.29,0.028
0.3,0.039
0.31,0.053
0.32,0.065
0.33,0.073
0.34,0.075
0.35000000000000003,0.07
0.36,0.06
0.37,0.055
0.38,0.045
0.39,0.048
0.4,0.051
0.41000000000000003,0.045
0.42,0.036
0.43,0.037
0.44,0.057
0.45,0.064
0.46,0.071
0.47000000000000003,0.064
0.48,0.058
0.49,0.04
0.5,-0.001
0.51,-0.008
0.52,-0.002
0.53,0.002
0.54,0.004
0.55,0.015
0.56,0.02
0.5700000000000001,0.045
0.58,0.07
0.59,0.079
0.6,0.077
0.61,0.07
0.62,0.074
0.63,0.052
0.64,0.078
0.65,0.036
0.66,0.015
0.67,-0.355
0.68,-0.815
0.6900000000000001,-0.403
0.7000000000000001,0.034
0.71,0.064
0.72,0.069
0.73,0.054
0.74,0.07
0.75,0.059
0.76,0.069
0.77,0.071
0.78,0.056
0.79,0.047
0.8,0.032
0.81,0.028
0.8200000000000001,0.023
0.8300000000000001,0.024
0.84,0.019
0.85,0.007
0.86,-0.026
0.87,-0.056
0.88,-0.056
0.89,-0.082
0.9,-0.101
0.91,-0.108
0.92,-0.137
0.93,-0.155
0.9400000000000001,-0.173
0.9500000000000001,-0.158
0.96,-0.127
0.97,-0.105
0.98,-0.075
0.99,-0.062
1,-0.025
1.01,0
1.02,0.019
1.03,0.043
1.04,0.035
1.05,0.041
1.06,0.048
1.07,0.055
1.08,0.046
1.09,0.032
1.1,0.032
1.11,0.036
1.12,0.033
1.1300000000000001,0.037
1.1400000000000001,0.023
1.1500000000000001,-0.009
1.16,0.02
1.17,0.045
1.18,0.038
1.19,0.041
1.2,0.045
1.21,0.057
1.22,0.055
1.23,0.05
1.24,0.056
1.25,0.059
1.26,0.065
1.27,0.065
1.28,0.064
1.29,0.063
1.3,0.059
1.31,0.064
1.32,0.065
1.33,0.064
1.34,0.07
1.35,0.064
1.36,0.053
1.37,0.049
1.3800000000000001,0.039
1.3900000000000001,0.028
1.4000000000000001,0.043
1.41,0.047
1.42,0.043
1.43,0.046
1.44,0.037
1.45,0.035
1.46,0.027
1.47,0.029
1.48,0.043
1.49,0.043
1.5,0.031
1.51,0.028
1.52,0.011
1.53,-0.018
1.54,-0.009
1.55,0.001
1.56,0.016
1.57,0.011
1.58,0.023
1.59,0.065
1.6,0.068
1.61,0.083
1.62,0.071
1.6300000000000001,0.087
1.6400000000000001,0.066
1.6500000000000001,0.071
1.6600000000000001,0.064
1.67,0.021
1.68,-0.162
1.69,-0.734
1.7,-0.644
1.71,-0.07
1.72,0.039
1.73,0.044
1.74,0.069
1.75,0.106
1.76,0.096
1.77,0.058
1.78,0.073
1.79,0.088
1.8,0.067
1.81,0.054
1.82,0.038
1.83,0.001
1.84,0.014
1.85,-0.011
1.86,-0.017
1.87,-0.002
1.8800000000000001,-0.045
1.8900000000000001,-0.039
1.9000000000000001,-0.048
1.9100000000000001,-0.094
1.92,-0.107
1.93,-0.141
1.94,-0.155
1.95,-0.147
1.96,-0.132
1.97,-0.129
1.98,-0.122
1.99,-0.091
2,-0.073
2.0100000000000002,-0.029
2.02,0.008
2.0300000000000002,0.031
2.04,0.027
2.05,0.029
2.06,0.05
2.07,0.05
2.08,0.062
2.09,0.055
2.1,0.04
2.11,0.026
2.12,0.032
2.13,0.044
2.14,0.038
2.15,0.044
2.16,0.048
2.17,0.045
2.18,0.04
2.19,0.04
2.2,0.039
2.21,0.038
2.22,0.038
2.23,0.038
2.24,0.038
2.25,0.04
2.2600000000000002,0.062
2.27,0.07
2.2800000000000002,0.062
2.29,0.065
2.3000000000000003,0.059
2.31,0.068
2.32,0.061
2.33,0.043
2.34,0.082
2.35,0.086
2.36,0.068
2.37,0.066
2.38,0.057
2.39,0.058
2.4,0.053
2.41,0.053
2.42,0.045
2.43,0.057
2.44,0.077
2.45,0.071
2.46,0.067
2.47,0.057
2.48,0.05
2.49,0.041
2.5,0.036
2.5100000000000002,0.023
2.52,0.002
2.5300000000000002,-0.017
2.54,-0.025
2.5500000000000003,0.006
2.56,0.035
2.57,0.043
2.58,0.045
2.59,0.042
2.6,0.054
2.61,0.056
2.62,0.066
2.63,0.068
2.64,0.056
2.65,0.076
2.66,0.011
2.67,0.011
2.68,-0.366
2.69,-0.832
2.7,-0.42
2.71,0.027
2.72,0.076
2.73,0.069
2.74,0.049
2.75,0.058
2.7600000000000002,0.078
2.77,0.083
2.7800000000000002,0.062
