time,mV
0,-0.223
0.01,-0.224
0.02,-0.237
0.03,-0.233
0.04,-0.231
0.05,-0.226
0.06,-0.223
0.07,-0.221
0.08,-0.219
0.09,-0.225
0.1,-0.224
0.11,-0.236
0.12,-0.248
0.13,-0.253
0.14,-0.255
0.15,-0.247
0.16,-0.244
0.17,-0.241
0.18,-0.218
0.19,-0.188
0.2,-0.158
0.21,-0.14
0.22,-0.141
0.23,-0.145
0.24,-0.145
0.25,-0.145
0.26,-0.146
0.27,-0.143
0.28,-0.139
0.29,-0.137
0.3,-0.136
0.31,-0.135
0.32,-0.135
0.33,-0.136
0.34,-0.135
0.35000000000000003,-0.133
0.36,-0.132
0.37,-0.135
0.38,-0.147
0.39,-0.153
0.4,-0.149
0.41000000000000003,-0.145
0.42,-0.141
0.43,-0.138
0.44,-0.129
0.45,-0.105
0.46,-0.06
0.47000000000000003,-0.009
0.48,0.017
0.49,0.004
0.5,-0.025
0.51,-0.05
0.52,-0.097
0.53,-0.144
0.54,-0.128
0.55,-0.155
0.56,-0.155
0.5700000000000001,-0.162
0.58,-0.166
0.59,-0.146
0.6,-0.215
0.61,-0.115
0.62,-0.043
0.63,0.531
0.64,0.809
0.65,0.005
0.66,-0.3
0.67,-0.23
0.68,-0.196
0.6900000000000001,-0.15
0.7000000000000001,-0.173
0.71,-0.15
0.72,-0.163
0.73,-0.152
0.74,-0.152
0.75,-0.152
0.76,-0.156
0.77,-0.157
0.78,-0.151
0.79,-0.152
0.8,-0.157
0.81,-0.168
0.8200000000000001,-0.171
0.8300000000000001,-0.174
0.84,-0.192
0.85,-0.198
0.86,-0.192
0.87,-0.192
0.88,-0.179
0.89,-0.151
0.9,-0.119
0.91,-0.094
0.92,-0.091
0.93,-0.091
0.9400000000000001,-0.085
0.9500000000000001,-0.086
0.96,-0.086
0.97,-0.081
0.98,-0.077
0.99,-0.073
1,-0.07
1.01,-0.067
1.02,-0.063
1.03,-0.059
1.04,-0.055
1.05,-0.054
1.06,-0.064
1.07,-0.063
1.08,-0.055
1.09,-0.047
1.1,-0.041
1.11,-0.033
1.12,-0.015
1.1300000000000001,0.021
1.1400000000000001,0.083
1.1500000000000001,0.095
1.16,0.055
1.17,0.025
1.18,-0.004
1.19,-0.045
1.2,-0.081
1.21,-0.077
1.22,-0.091
1.23,-0.083
1.24,-0.116
1.25,-0.09
1.26,-0.111
1.27,-0.132
1.28,-0.029
1.29,0.102
1.3,0.773
1.31,0.697
1.32,-0.128
1.33,-0.233
1.34,-0.186
1.35,-0.135
1.36,-0.11
1.37,-0.117
1.3800000000000001,-0.095
1.3900000000000001,-0.115
1.4000000000000001,-0.101
1.41,-0.107
1.42,-0.096
1.43,-0.096
1.44,-0.094
1.45,-0.092
1.46,-0.097
1.47,-0.098
1.48,-0.1
1.49,-0.108
1.5,-0.126
1.51,-0.124
1.52,-0.115
1.53,-0.113
1.54,-0.106
1.55,-0.091
1.56,-0.058
1.57,-0.035
1.58,-0.028
1.59,-0.024
1.6,-0.021
1.61,-0.02
1.62,-0.018
1.6300000000000001,-0.015
1.6400000000000001,-0.013
1.6500000000000001,-0.01
1.6600000000000001,-0.007
1.67,-0.007
1.68,-0.007
1.69,-0.008
1.7,-0.01
1.71,-0.011
1.72,-0.005
1.73,0.001
1.74,-0.001
1.75,-0.002
1.76,-0.003
1.77,-0.006
1.78,0.001
1.79,0.01
1.8,0.027
1.81,0.058
1.82,0.11
1.83,0.154
1.84,0.144
1.85,0.108
1.86,0.062
1.87,0.034
1.8800000000000001,0.001
1.8900000000000001,-0.012
1.9000000000000001,-0.018
1.9100000000000001,-0.034
1.92,-0.027
1.93,-0.058
1.94,-0.021
1.95,-0.092
1.96,-0.033
1.97,0.044
1.98,0.394
1.99,0.969
2,0.373
2.0100000000000002,-0.209
2.02,-0.135
2.0300000000000002,-0.119
2.04,-0.048
2.05,-0.066
2.06,-0.052
2.07,-0.048
2.08,-0.047
2.09,-0.034
2.1,-0.039
2.11,-0.039
2.12,-0.044
2.13,-0.041
2.14,-0.051
2.15,-0.047
2.16,-0.052
2.17,-0.061
2.18,-0.068
2.19,-0.078
2.2,-0.076
2.21,-0.081
2.22,-0.081
2.23,-0.072
2.24,-0.054
2.25,-0.023
2.2600000000000002,-0.004
2.27,0.005
2.2800000000000002,0.012
2.29,0.015
2.3000000000000003,0.015
2.31,0.014
2.32,0.013
2.33,0.014
2.34,0.019
2.35,0.02
2.36,0.02
2.37,0.022
2.38,0.022
2.39,0.026
2.4,0.029
2.41,0.026
2.42,0.025
2.43,0.022
2.44,0.02
2.45,0.022
2.46,0.025
2.47,0.028
2.48,0.031
2.49,0.034
2.5,0.037
2.5100000000000002,0.048
2.52,0.08
2.5300000000000002,0.124
2.54,0.178
2.5500000000000003,0.199
2.56,0.169
2.57,0.146
2.58,0.119
2.59,0.089
2.6,0.055
2.61,0.036
2.62,0
2.63,0
2.64,-0.019
2.65,-0.024
2.66,-0.022
2.67,-0.091
2.68,0.01
2.69,0.083
2.7,0.638
2.71,0.868
2.72,0.091
2.73,-0.186
2.74,-0.119
2.75,-0.077
2.7600000000000002,-0.041
2.77,-0.068
2.7800000000000002,-0.04
2.79,-0.049
2.8000000000000003,-0.034
2.81,-0.033
2.82,-0.035
2.83,-0.04
2.84,-0.043
2.85,-0.036
2.86,-0.04
2.87,-0.048
2.88,-0.046
2.89,-0.052
2.9,-0.053
2.91,-0.056
2.92,-0.057
2.93,-0.039
2.94,-0.043
2.95,-0.041
2.96,-0.02
2.97,0.002
2.98,0.026
2.99,0.041
3,0.036
3.0100000000000002,0.026
3.02,0.028
3.0300000000000002,0.026
3.04,0.023
3.0500000000000003,0.037
3.06,0.046
3.0700000000000003,0.042
3.08,0.04
3.09,0.037
3.1,0.035
3.11,0.035
3.12,0.034
3.13,0.035
3.14,0.034
3.15,0.035
3.16,0.035
3.17,0.035
3.18,0.035
3.19,0.035
3.2,0.035
3.21,0.035
3.22,0.035
3.23,0.035
3.24,0.034
3.25,0.032
3.2600000000000002,0.031
3.27,0.041
3.2800000000000002,0.076
3.29,0.121
3.3000000000000003,0.166
3.31,0.171
3.3200000000000003,0.143
3.33,0.122
3.34,0.092
3.35,0.061
3.36,0.032
3.37,0.03
3.38,0.01
3.39,0.019
3.4,-0.001
3.41,0.01
3.42,0.011
3.43,-0.022
3.44,0.07
3.45,0.146
3.46,0.758
3.47,0.829
3.48,0.032
3.49,-0.116
3.5,-0.043
3.5100000000000002,-0.018
3.52,0
3.5300000000000002,-0.02
3.54,0.002
3.5500000000000003,-0.006
3.56,0.009
3.5700000000000003,0.001
3.58,0.005
3.59,0.004
3.6,0.003
3.61,0.004
3.62,-0.001
3.63,0.01
3.64,0.003
3.65,-0.008
3.66,-0.003
3.67,-0.008
3.68,-0.006
3.69,-0.003
3.7,-0.007
3.71,0.012
3.72,0.037
3.73,0.058
3.74,0.074
3.75,0.071
3.7600000000000002,0.061
3.77,0.065
3.7800000000000002,0.064
3.79,0.061
3.8000000000000003,0.059
3.81,0.057
3.8200000000000003,0.059
3.83,0.064
3.84,0.071
3.85,0.071
3.86,0.071
3.87,0.071
3.88,0.07
3.89,0.069
3.9,0.065
3.91,0.064
3.92,0.061
3.93,0.057
3.94,0.052
3.95,0.047
3.96,0.046
3.97,0.041
3.98,0.05
3.99,0.062
4,0.064
4.01,0.064
4.0200000000000005,0.072
4.03,0.092
4.04,0.119
4.05,0.172
4.0600000000000005,0.196
4.07,0.174
4.08,0.152
4.09,0.126
4.1,0.094
4.11,0.052
4.12,0.049
4.13,0.028
4.14,0.03
4.15,0.017
4.16,0.005
4.17,0.014
4.18,-0.043
4.19,0.056
4.2,0.121
4.21,0.66
4.22,0.889
4.23,0.119
4.24,-0.137
4.25,-0.063
4.26,-0.05
4.2700000000000005,-0.011
4.28,-0.03
4.29,-0.007
4.3,-0.017
4.3100000000000005,-0.007
4.32,-0.013
4.33,-0.014
4.34,-0.009
4.3500000000000005,-0.009
4.36,0
4.37,-0.001
4.38,-0.004
4.39,-0.011
4.4,-0.017
4.41,-0.017
4.42,-0.044
4.43,-0.028
4.44,0.002
4.45,-0.01
4.46,0.012
