time,mV
0,0.088
0.01,0.099
0.02,0.134
0.03,0.133
0.04,0.138
0.05,0.14
0.06,0.144
0.07,0.15
0.08,0.156
0.09,0.174
0.1,0.184
0.11,0.212
0.12,0.252
0.13,0.292
0.14,0.338
0.15,0.347
0.16,0.339
0.17,0.332
0.18,0.287
0.19,0.227
0.2,0.166
0.21,0.121
0.22,0.089
0.23,0.054
0.24,0.048
0.25,0.044
0.26,0.037
0.27,0.037
0.28,0.034
0.29,0.034
0.3,0.036
0.31,0.038
0.32,0.037
0.33,0.033
0.34,0.029
0.35000000000000003,0.028
0.36,0.023
0.37,0.035
0.38,0.049
0.39,0.036
0.4,0.036
0.41000000000000003,0.034
0.42,0.033
0.43,0.032
0.44,0.033
0.45,0.053
0.46,0.034
0.47000000000000003,-0.002
0.48,0.014
0.49,0.029
0.5,0.035
0.51,0.052
0.52,0.034
0.53,0.028
0.54,0.014
0.55,0.023
0.56,0.031
0.5700000000000001,0.038
0.58,0.048
0.59,0.036
0.6,0.073
0.61,0.016
0.62,0.143
0.63,0.075
0.64,-0.23
0.65,-0.17
0.66,-0.059
0.67,0.037
0.68,0.055
0.6900000000000001,0.05
0.7000000000000001,0.073
0.71,0.059
0.72,0.073
0.73,0.068
0.74,0.072
0.75,0.083
0.76,0.103
0.77,0.112
0.78,0.113
0.79,0.128
0.8,0.155
0.81,0.189
0.8200000000000001,0.217
0.8300000000000001,0.245
0.84,0.293
0.85,0.307
0.86,0.294
0.87,0.295
0.88,0.267
0.89,0.208
0.9,0.139
0.91,0.095
0.92,0.073
0.93,0.039
0.9400000000000001,0.021
0.9500000000000001,0.013
0.96,0.006
0.97,0.006
0.98,0.002
0.99,-0.001
1,-0.002
1.01,-0.002
1.02,-0.005
1.03,-0.004
1.04,-0.005
1.05,-0.001
1.06,0.024
1.07,0.031
1.08,0.023
1.09,0.02
1.1,0.015
1.11,0.014
1.12,0.025
1.1300000000000001,0.007
1.1400000000000001,-0.013
1.1500000000000001,0.013
1.16,0.022
1.17,0.036
1.18,0.035
1.19,0.013
1.2,0.028
1.21,0.009
1.22,0.013
1.23,0.019
1.24,0.041
1.25,0.027
1.26,0.034
1.27,0.033
1.28,0.009
1.29,0.182
1.3,-0.001
1.31,-0.218
1.32,-0.105
1.33,-0.026
1.34,0.058
1.35,0.035
1.36,0.047
1.37,0.06
1.3800000000000001,0.06
1.3900000000000001,0.09
1.4000000000000001,0.086
1.41,0.093
1.42,0.089
1.43,0.092
1.44,0.096
1.45,0.104
1.46,0.121
1.47,0.141
1.48,0.161
1.49,0.199
1.5,0.252
1.51,0.278
1.52,0.285
1.53,0.278
1.54,0.264
1.55,0.226
1.56,0.162
1.57,0.106
1.58,0.06
1.59,0.031
1.6,0.013
1.61,-0.002
1.62,-0.009
1.6300000000000001,-0.014
1.6400000000000001,-0.019
1.6500000000000001,-0.026
1.6600000000000001,-0.029
1.67,-0.023
1.68,-0.022
1.69,-0.021
1.7,-0.017
1.71,-0.016
1.72,-0.023
1.73,-0.032
1.74,-0.028
1.75,-0.025
1.76,-0.023
1.77,-0.019
1.78,-0.017
1.79,-0.023
1.8,-0.022
1.81,-0.022
1.82,-0.037
1.83,-0.037
1.84,-0.011
1.85,0.013
1.86,0.013
1.87,-0.014
1.8800000000000001,-0.025
1.8900000000000001,-0.028
1.9000000000000001,-0.025
1.9100000000000001,-0.019
1.92,-0.028
1.93,-0.004
1.94,-0.022
1.95,0.004
1.96,-0.04
1.97,0.028
1.98,0.126
1.99,-0.157
2,-0.223
2.0100000000000002,-0.116
2.02,-0.044
2.0300000000000002,0.014
2.04,-0.007
2.05,0.022
2.06,0.015
2.07,0.017
2.08,0.019
2.09,0.013
2.1,0.021
2.11,0.043
2.12,0.062
2.13,0.061
2.14,0.073
2.15,0.097
2.16,0.125
2.17,0.153
2.18,0.199
2.19,0.237
2.2,0.255
2.21,0.267
2.22,0.259
2.23,0.24
2.24,0.198
2.25,0.134
2.2600000000000002,0.076
2.27,0.035
2.2800000000000002,0.007
2.29,-0.009
2.3000000000000003,-0.015
2.31,-0.023
2.32,-0.03
2.33,-0.035
2.34,-0.038
2.35,-0.04
2.36,-0.04
2.37,-0.043
2.38,-0.046
2.39,-0.04
2.4,-0.033
2.41,-0.034
2.42,-0.036
2.43,-0.037
2.44,-0.04
2.45,-0.041
2.46,-0.044
2.47,-0.046
2.48,-0.047
2.49,-0.05
2.5,-0.052
2.5100000000000002,-0.057
2.52,-0.048
2.5300000000000002,-0.069
2.54,-0.091
2.5500000000000003,-0.056
2.56,-0.045
2.57,-0.04
2.58,-0.036
2.59,-0.07
2.6,-0.069
2.61,-0.074
2.62,-0.065
2.63,-0.067
2.64,-0.059
2.65,-0.041
2.66,-0.05
2.67,-0.004
2.68,-0.046
2.69,0.089
2.7,0.058
2.71,-0.225
2.72,-0.219
2.73,-0.138
2.74,-0.022
2.75,-0.016
2.7600000000000002,-0.026
2.77,0.014
2.7800000000000002,-0.002
2.79,0.012
2.8000000000000003,0.006
2.81,0.004
2.82,0.013
2.83,0.032
2.84,0.038
2.85,0.032
2.86,0.049
2.87,0.074
2.88,0.096
2.89,0.138
2.9,0.17
2.91,0.202
2.92,0.235
2.93,0.237
2.94,0.237
2.95,0.211
2.96,0.155
2.97,0.09
2.98,0.026
2.99,-0.025
3,-0.058
3.0100000000000002,-0.061
3.02,-0.063
3.0300000000000002,-0.063
3.04,-0.064
3.0500000000000003,-0.078
3.06,-0.076
3.0700000000000003,-0.076
3.08,-0.08
3.09,-0.082
3.1,-0.083
3.11,-0.077
3.12,-0.074
3.13,-0.07
3.14,-0.065
3.15,-0.063
3.16,-0.063
3.17,-0.063
3.18,-0.063
3.19,-0.063
3.2,-0.063
3.21,-0.064
3.22,-0.071
3.23,-0.069
