time,mV
0,0.117
0.01,0.146
0.02,0.105
0.03,0.084
0.04,0.148
0.05,0.353
0.06,0.201
0.07,-0.033
0.08,0.025
0.09,0.055
0.1,0.077
0.11,0.114
0.12,0.07
0.13,0.072
0.14,0.125
0.15,0.102
0.16,0.096
0.17,0.1
0.18,0.072
0.19,0.063
0.2,0.086
0.21,0.063
0.22,0.021
0.23,-0.005
0.24,-0.027
0.25,-0.029
0.26,-0.046
0.27,-0.026
0.28,-0.043
0.29,-0.054
0.3,-0.035
0.31,-0.023
0.32,-0.019
0.33,-0.045
0.34,-0.028
0.35000000000000003,-0.044
0.36,-0.023
0.37,0.009
0.38,-0.012
0.39,0.005
0.4,0.006
0.41000000000000003,0.032
0.42,0.028
0.43,0.005
0.44,0.037
0.45,0.059
0.46,0.074
0.47000000000000003,0.09
0.48,0.116
0.49,0.095
0.5,0.081
0.51,0.093
0.52,0.041
0.53,0.044
0.54,0.041
0.55,-0.007
0.56,0.016
0.5700000000000001,0.02
0.58,0.053
0.59,0.21
0.6,0.239
0.61,0.064
0.62,-0.067
0.63,-0.038
0.64,0.019
0.65,-0.031
0.66,0.011
0.67,0.031
0.68,-0.041
0.6900000000000001,-0.001
0.7000000000000001,0.015
0.71,0.011
0.72,0.011
0.73,-0.036
0.74,-0.006
0.75,0.002
0.76,-0.017
0.77,-0.005
0.78,-0.072
0.79,-0.043
0.8,-0.051
0.81,-0.127
0.8200000000000001,-0.123
0.8300000000000001,-0.108
0.84,-0.094
0.85,-0.123
0.86,-0.122
0.87,-0.125
0.88,-0.103
0.89,-0.095
0.9,-0.099
0.91,-0.06
0.92,-0.024
0.93,0.004
0.9400000000000001,-0.038
0.9500000000000001,-0.019
0.96,0.023
0.97,-0.004
0.98,0.009
0.99,0.034
1,0.027
1.01,0.01
1.02,0.047
1.03,0.105
1.04,0.072
1.05,0.051
1.06,0.048
1.07,0.025
1.08,0.055
1.09,0.041
1.1,0.039
1.11,0.039
1.12,-0.003
1.1300000000000001,0.17
1.1400000000000001,0.325
1.1500000000000001,0.127
1.16,-0.012
1.17,0.001
1.18,0.007
1.19,0.027
1.2,0.008
1.21,0.029
1.22,0.005
1.23,0.004
1.24,0.044
1.25,0.026
1.26,0.022
1.27,0.01
1.28,0.036
1.29,0.012
1.3,-0.053
1.31,-0.038
1.32,-0.046
1.33,-0.051
1.34,-0.037
1.35,-0.073
1.36,-0.102
1.37,-0.109
1.3800000000000001,-0.095
1.3900000000000001,-0.107
1.4000000000000001,-0.121
1.41,-0.05
1.42,-0.019
1.43,-0.042
1.44,-0.047
1.45,-0.055
1.46,-0.05
1.47,-0.037
1.48,-0.009
1.49,0.02
1.5,0.019
1.51,0.019
1.52,0.018
1.53,0.02
1.54,0.101
1.55,0.083
1.56,0.048
1.57,0.122
1.58,0.096
1.59,0.101
1.6,0.095
1.61,0.067
1.62,0.068
1.6300000000000001,0.052
1.6400000000000001,0.071
1.6500000000000001,0.046
1.6600000000000001,0.008
1.67,0.086
1.68,0.302
1.69,0.236
1.7,-0.014
1.71,-0.002
1.72,0.034
1.73,0.025
1.74,0.041
1.75,0.046
1.76,0.05
1.77,0.037
1.78,0.033
1.79,0.024
1.8,0.026
1.81,0.025
1.82,0.042
1.83,0.07
1.84,-0.003
1.85,-0.065
1.86,-0.031
1.87,-0.004
1.8800000000000001,-0.042
1.8900000000000001,-0.06
1.9000000000000001,-0.068
1.9100000000000001,-0.097
1.92,-0.074
1.93,-0.1
1.94,-0.11
1.95,-0.078
1.96,-0.057
1.97,-0.047
1.98,-0.043
1.99,0.022
2,0.032
2.0100000000000002,-0.04
2.02,-0.024
2.0300000000000002,0.043
2.04,0.011
2.05,0.025
2.06,0.04
2.07,0.058
2.08,0.103
2.09,0.073
2.1,0.111
2.11,0.102
2.12,0.097
2.13,0.12
2.14,0.112
2.15,0.132
2.16,0.104
2.17,0.125
2.18,0.055
2.19,0.023
2.2,0.093
2.21,0.097
2.22,0.261
2.23,0.265
2.24,0.029
2.25,-0.016
2.2600000000000002,0.03
2.27,0.041
2.2800000000000002,0.063
2.29,0.088
2.3000000000000003,0.092
2.31,0.028
2.32,0.059
2.33,0.075
2.34,0.008
2.35,0.042
2.36,0.035
2.37,0.027
2.38,0.021
2.39,-0.004
2.4,-0.023
2.41,-0.058
2.42,-0.044
2.43,-0.046
2.44,-0.084
2.45,-0.097
2.46,-0.097
2.47,-0.113
2.48,-0.133
2.49,-0.128
2.5,-0.09
2.5100000000000002,-0.085
2.52,-0.099
2.5300000000000002,-0.079
2.54,-0.03
2.5500000000000003,-0.04
2.56,-0.074
2.57,-0.063
2.58,-0.058
2.59,-0.037
2.6,0.003
2.61,-0.038
2.62,-0.04
2.63,0.055
2.64,0.041
2.65,0.009
2.66,0.003
2.67,0.012
2.68,0.027
2.69,0.025
2.7,0.027
2.71,-0.022
2.72,-0.025
2.73,-0.002
2.74,-0.017
2.75,-0.021
2.7600000000000002,0.132
2.77,0.237
2.7800000000000002,0.018
2.79,-0.073
2.8000000000000003,-0.023
2.81,-0.007
2.82,0.026
2.83,-0.015
2.84,-0.009
2.85,-0.012
2.86,0.016
2.87,0.05
2.88,0.013
2.89,-0.028
2.9,-0.052
2.91,-0.061
2.92,-0.071
2.93,-0.032
2.94,-0.043
2.95,-0.07
2.96,-0.102
2.97,-0.139
2.98,-0.118
2.99,-0.102
3,-0.1
3.0100000000000002,-0.119
3.02,-0.144
3.0300000000000002,-0.138
3.04,-0.091
3.0500000000000003,-0.1
3.06,-0.066
3.0700000000000003,-0.061
3.08,-0.103
3.09,-0.025
3.1,-0.04
3.11,-0.076
3.12,-0.045
3.13,-0.042
3.14,-0.018
3.15,0.025
3.16,0.01
3.17,0.027
3.18,0.086
3.19,0.073
3.2,0.092
3.21,0.093
3.22,0.051
3.23,0.023
3.24,0.037
3.25,0.061
3.2600000000000002,0.048
3.27,0.038
3.2800000000000002,0.016
3.29,0.02
3.3000000000000003,0.124
3.31,0.271
3.3200000000000003,0.194
3.33,-0.006
3.34,-0.008
3.35,0.046
3.36,0.037
3.37,0.051
3.38,0.064
3.39,0.027
3.4,0.013
3.41,0.016
3.42,0.01
3.43,0.013
3.44,0.033
3.45,0.023
3.46,-0.019
3.47,-0.007
