time,mV
0,0.055
0.01,0.038
0.02,-0.034
0.03,-0.155
0.04,0.003
0.05,0.545
0.06,0.396
0.07,0.163
0.08,0.255
0.09,0.123
0.1,0.049
0.11,0.024
0.12,-0.018
0.13,-0.033
0.14,0.042
0.15,0.034
0.16,-0.006
0.17,-0.006
0.18,-0.055
0.19,-0.051
0.2,-0.057
0.21,-0.084
0.22,-0.136
0.23,-0.19
0.24,-0.207
0.25,-0.237
0.26,-0.235
0.27,-0.238
0.28,-0.291
0.29,-0.315
0.3,-0.343
0.31,-0.336
0.32,-0.326
0.33,-0.358
0.34,-0.335
0.35000000000000003,-0.318
0.36,-0.282
0.37,-0.232
0.38,-0.257
0.39,-0.258
0.4,-0.234
0.41000000000000003,-0.184
0.42,-0.155
0.43,-0.159
0.44,-0.121
0.45,-0.052
0.46,0.054
0.47000000000000003,0.121
0.48,0.152
0.49,0.12
0.5,0.091
0.51,0.065
0.52,-0.012
0.53,-0.034
0.54,-0.056
0.55,-0.107
0.56,-0.091
0.5700000000000001,-0.161
0.58,-0.147
0.59,0.369
0.6,0.493
0.61,0.212
0.62,0.21
0.63,0.117
0.64,0.03
0.65,-0.058
0.66,-0.048
0.67,0.008
0.68,-0.068
0.6900000000000001,-0.057
0.7000000000000001,-0.054
0.71,-0.046
0.72,-0.045
0.73,-0.075
0.74,-0.061
0.75,-0.108
0.76,-0.139
0.77,-0.124
0.78,-0.181
0.79,-0.211
0.8,-0.255
0.81,-0.311
0.8200000000000001,-0.325
0.8300000000000001,-0.307
0.84,-0.32
0.85,-0.364
0.86,-0.345
0.87,-0.346
0.88,-0.305
0.89,-0.269
0.9,-0.258
0.91,-0.209
0.92,-0.165
0.93,-0.132
0.9400000000000001,-0.139
0.9500000000000001,-0.095
0.96,-0.067
0.97,-0.072
0.98,-0.014
0.99,0.063
1,0.147
1.01,0.19
1.02,0.222
1.03,0.27
1.04,0.216
1.05,0.139
1.06,0.124
1.07,0.085
1.08,0.106
1.09,0.077
1.1,0.05
1.11,0.057
1.12,-0.065
1.1300000000000001,0.4
1.1400000000000001,0.773
1.1500000000000001,0.38
1.16,0.282
1.17,0.264
1.18,0.146
1.19,0.126
1.2,0.08
1.21,0.098
1.22,0.064
1.23,0.075
1.24,0.102
1.25,0.066
1.26,0.076
1.27,0.06
1.28,0.053
1.29,0.031
1.3,-0.049
1.31,-0.071
1.32,-0.102
1.33,-0.14
1.34,-0.158
1.35,-0.201
1.36,-0.266
1.37,-0.298
1.3800000000000001,-0.273
1.3900000000000001,-0.281
1.4000000000000001,-0.311
1.41,-0.253
1.42,-0.203
1.43,-0.197
1.44,-0.153
1.45,-0.146
1.46,-0.134
1.47,-0.11
1.48,-0.077
1.49,-0.024
1.5,-0.018
1.51,0.007
1.52,0.027
1.53,0.084
1.54,0.231
1.55,0.247
1.56,0.246
1.57,0.303
1.58,0.272
1.59,0.246
1.6,0.218
1.61,0.183
1.62,0.136
1.6300000000000001,0.133
1.6400000000000001,0.13
1.6500000000000001,0.063
