time,mV
0,-0.062
0.01,-0.109
0.02,-0.139
0.03,-0.239
0.04,-0.145
0.05,0.192
0.06,0.196
0.07,0.196
0.08,0.23
0.09,0.068
0.1,-0.027
0.11,-0.09
0.12,-0.089
0.13,-0.105
0.14,-0.084
0.15,-0.068
0.16,-0.102
0.17,-0.106
0.18,-0.127
0.19,-0.114
0.2,-0.142
0.21,-0.148
0.22,-0.157
0.23,-0.185
0.24,-0.18
0.25,-0.208
0.26,-0.189
0.27,-0.212
0.28,-0.248
0.29,-0.261
0.3,-0.307
0.31,-0.313
0.32,-0.307
0.33,-0.313
0.34,-0.307
0.35000000000000003,-0.274
0.36,-0.259
0.37,-0.241
0.38,-0.245
0.39,-0.263
0.4,-0.24
0.41000000000000003,-0.216
0.42,-0.183
0.43,-0.164
0.44,-0.158
0.45,-0.111
0.46,-0.02
0.47000000000000003,0.031
0.48,0.035
0.49,0.025
0.5,0.01
0.51,-0.028
0.52,-0.053
0.53,-0.079
0.54,-0.097
0.55,-0.1
0.56,-0.107
0.5700000000000001,-0.181
0.58,-0.2
0.59,0.159
0.6,0.254
0.61,0.148
0.62,0.278
0.63,0.155
0.64,0.011
0.65,-0.027
0.66,-0.059
0.67,-0.023
0.68,-0.027
0.6900000000000001,-0.056
0.7000000000000001,-0.069
0.71,-0.057
0.72,-0.055
0.73,-0.038
0.74,-0.055
0.75,-0.11
0.76,-0.121
0.77,-0.119
0.78,-0.109
0.79,-0.168
0.8,-0.204
0.81,-0.184
0.8200000000000001,-0.202
0.8300000000000001,-0.199
0.84,-0.225
0.85,-0.241
0.86,-0.223
0.87,-0.221
0.88,-0.201
0.89,-0.174
0.9,-0.159
0.91,-0.15
0.92,-0.141
0.93,-0.137
0.9400000000000001,-0.1
0.9500000000000001,-0.076
0.96,-0.089
0.97,-0.068
0.98,-0.023
0.99,0.029
1,0.12
1.01,0.18
1.02,0.175
1.03,0.165
1.04,0.143
1.05,0.088
1.06,0.075
1.07,0.059
1.08,0.051
1.09,0.035
1.1,0.011
1.11,0.017
1.12,-0.062
1.1300000000000001,0.23
1.1400000000000001,0.448
1.1500000000000001,0.253
1.16,0.294
1.17,0.264
1.18,0.139
1.19,0.098
1.2,0.072
1.21,0.069
1.22,0.059
1.23,0.071
1.24,0.058
1.25,0.04
1.26,0.054
1.27,0.05
1.28,0.018
1.29,0.019
1.3,0.004
1.31,-0.033
1.32,-0.055
1.33,-0.089
1.34,-0.121
1.35,-0.128
1.36,-0.164
1.37,-0.189
1.3800000000000001,-0.178
1.3900000000000001,-0.174
1.4000000000000001,-0.19
1.41,-0.203
1.42,-0.184
1.43,-0.155
1.44,-0.106
1.45,-0.091
1.46,-0.084
1.47,-0.073
1.48,-0.069
1.49,-0.044
1.5,-0.037
1.51,-0.012
1.52,0.009
1.53,0.064
1.54,0.13
1.55,0.165
1.56,0.198
1.57,0.181
1.58,0.176
1.59,0.145
1.6,0.123
1.61,0.116
1.62,0.068
1.6300000000000001,0.08
1.6400000000000001,0.059
1.6500000000000001,0.017
1.6600000000000001,-0.052
1.67,0.064
1.68,0.351
1.69,0.318
1.7,0.314
1.71,0.321
1.72,0.178
1.73,0.143
1.74,0.105
1.75,0.089
1.76,0.081
1.77,0.076
1.78,0.07
1.79,0.066
1.8,0.058
1.81,0.051
1.82,0.016
1.83,-0.048
1.84,-0.016
1.85,-0.038
1.86,-0.058
1.87,-0.074
1.8800000000000001,-0.126
1.8900000000000001,-0.114
1.9000000000000001,-0.131
1.9100000000000001,-0.142
1.92,-0.165
1.93,-0.17
1.94,-0.167
1.95,-0.191
1.96,-0.193
1.97,-0.173
1.98,-0.143
1.99,-0.192
2,-0.188
2.0100000000000002,-0.121
2.02,-0.136
2.0300000000000002,-0.128
2.04,-0.125
2.05,-0.106
2.06,-0.079
2.07,-0.065
