time,mV
0,0.312
0.01,0.302
0.02,0.257
0.03,0.218
0.04,0.662
0.05,1.322
0.06,0.396
0.07,-0.372
0.08,0.083
0.09,0.256
0.1,0.341
0.11,0.371
0.12,0.342
0.13,0.344
0.14,0.377
0.15,0.406
0.16,0.379
0.17,0.361
0.18,0.324
0.19,0.302
0.2,0.243
0.21,0.2
0.22,0.141
0.23,0.085
0.24,0.003
0.25,-0.099
0.26,-0.155
0.27,-0.226
0.28,-0.268
0.29,-0.324
0.3,-0.353
0.31,-0.338
0.32,-0.33
0.33,-0.29
0.34,-0.251
0.35000000000000003,-0.216
0.36,-0.153
0.37,-0.099
0.38,-0.094
0.39,-0.089
0.4,-0.038
0.41000000000000003,0.015
0.42,0.046
0.43,0.084
0.44,0.11
0.45,0.173
0.46,0.269
0.47000000000000003,0.293
0.48,0.295
0.49,0.296
0.5,0.289
0.51,0.274
0.52,0.276
0.53,0.255
0.54,0.26
0.55,0.241
0.56,0.242
0.5700000000000001,0.225
0.58,0.406
0.59,1.243
0.6,0.878
0.61,-0.296
0.62,-0.136
0.63,0.154
0.64,0.189
0.65,0.247
0.66,0.222
0.67,0.265
0.68,0.235
0.6900000000000001,0.236
0.7000000000000001,0.222
0.71,0.211
0.72,0.204
0.73,0.18
0.74,0.144
0.75,0.084
0.76,0.016
0.77,-0.047
0.78,-0.128
0.79,-0.244
0.8,-0.331
0.81,-0.406
0.8200000000000001,-0.474
0.8300000000000001,-0.522
0.84,-0.579
0.85,-0.602
0.86,-0.573
0.87,-0.55
0.88,-0.508
0.89,-0.432
0.9,-0.376
0.91,-0.335
0.92,-0.299
0.93,-0.261
0.9400000000000001,-0.233
0.9500000000000001,-0.21
0.96,-0.183
0.97,-0.151
0.98,-0.091
0.99,-0.021
1,0.053
1.01,0.096
1.02,0.103
1.03,0.121
1.04,0.136
1.05,0.11
1.06,0.113
1.07,0.102
1.08,0.092
1.09,0.101
1.1,0.061
1.11,0.084
1.12,0.155
1.1300000000000001,0.979
1.1400000000000001,1.156
1.1500000000000001,-0.141
1.16,-0.361
1.17,0.017
1.18,0.051
1.19,0.137
1.2,0.095
1.21,0.115
1.22,0.102
1.23,0.1
1.24,0.103
1.25,0.086
1.26,0.084
1.27,0.059
1.28,0.03
1.29,-0.02
1.3,-0.062
1.31,-0.121
1.32,-0.22
1.33,-0.316
1.34,-0.388
1.35,-0.473
1.36,-0.556
1.37,-0.596
1.3800000000000001,-0.631
1.3900000000000001,-0.674
1.4000000000000001,-0.679
1.41,-0.648
1.42,-0.603
1.43,-0.536
1.44,-0.457
1.45,-0.392
1.46,-0.353
1.47,-0.327
