"bloco","inicio","fim","tipo_melhor"
1,2024-04-11,2024-05-10,"heavy"
2,2024-05-11,2024-06-09,"dirac"
3,2024-06-10,2024-07-09,"dirac"
4,2024-07-10,2024-08-08,"dirac"
5,2024-08-09,2024-09-07,"dirac"
6,2024-09-08,2024-10-07,"dirac"
7,2024-10-08,2024-11-06,"dirac"
8,2024-11-07,2024-12-06,"dirac"
9,2024-12-07,2025-01-05,"heavy"
10,2025-01-06,2025-02-04,"dirac"
11,2025-02-05,2025-03-06,"dirac"
12,2025-03-07,2025-04-05,"light"
13,2025-04-06,2025-05-05,"dirac"
14,2025-05-06,2025-06-04,"heavy"
15,2025-06-05,2025-07-04,"dirac"
16,2025-07-05,2025-08-03,"dirac"
17,2025-08-04,2025-09-02,"dirac"
18,2025-09-03,2025-10-02,"dirac"
19,2025-10-03,2025-11-01,"heavy"
20,2025-11-02,2025-12-01,"dirac"
21,2025-12-02,2025-12-31,"dirac"
22,2026-01-01,2026-01-30,"dirac"
23,2026-01-31,2026-03-01,"heavy"
24,2026-03-02,2026-03-31,"heavy"
