"type","variance","bias","mse","gl"
"Gaussian",1.09663290885752,0.968884146515289,2.03317613240846,1
"Laplace",0.904874989759735,0.633658919331344,1.30458886582838,1
"Cauchy",0.13899461361925,0.153583565598336,0.16230453601391,1
"Pareto",0.137740104522223,0.138915346498852,0.156762097806075,1
"NND",0.189137773681024,-0.0216368357892349,0.189227650796632,1
"SS",0.132383302301584,-0.138983116171593,0.151434842277747,1
"Gaussian",0.276337992159798,0.255029632427413,0.340825429591539,2
"Laplace",0.129693492592859,0.145111280762658,0.150491389412252,2
"Cauchy",0.0605343243965345,0.0939440141064393,0.0692387335341723,2
"Pareto",0.0642807157527687,0.0650159385369218,0.0683792265851,2
"NND",0.122885885406813,0.0081701354591443,0.12270686474942,2
"SS",0.073953184253814,-0.113210262529644,0.0866218414273374,2
"Gaussian",0.0777969067587138,0.106367888237145,0.0889554405932261,3
"Laplace",0.0556165828744353,0.0686383559812265,0.060216573620492,3
"Cauchy",0.0479772071624997,0.0841974548677071,0.0549704641543742,3
"Pareto",0.0503893410028574,0.0444640182040616,0.0522656112357028,3
"NND",0.110004613831618,-0.00920645923425155,0.109869363495587,3
"SS",0.0631056911278896,-0.115809373330864,0.0763912906969212,3
"Gaussian",0.0527362806371883,0.049510174243635,0.055082065429549,4
"Laplace",0.042415039578853,0.0344473270259227,0.0435168278389261,4
"Cauchy",0.0392694503960452,0.0683625050754378,0.0438643435954423,4
"Pareto",0.0401479086656072,0.0226938812068297,0.0405826250925057,4
"NND",0.10313139996045,-0.0290707074825921,0.103770243194067,4
"SS",0.0562325760364476,-0.127692802596206,0.0724255627192483,4
"Gaussian",0.0382858725981127,0.0453477038995835,0.0402657151018808,5
"Laplace",0.0340146665997751,0.0405193783790399,0.0355884572907994,5
"Cauchy",0.0342200026515685,0.0810565987217896,0.0407217348426106,5
"Pareto",0.0339784023846096,0.0306743408321953,0.0348513607653301,5
"NND",0.105271142545368,-0.013259664583355,0.10523641896514,5
"SS",0.0535042284341228,-0.108407057894191,0.065149310178529,5
"Gaussian",0.0277695455860676,0.03077873404483,0.0286613369642978,10
"Laplace",0.0274210445223312,0.03663390582042,0.0287082454889459,10
"Cauchy",0.0290640718724534,0.0900326358480971,0.0371118192464646,10
"Pareto",0.0278942741474508,0.0318188638237183,0.0288509256941882,10
"NND",0.103748214487174,-0.0230006829883034,0.104069749476128,10
"SS",0.0492404677980948,-0.107177776790068,0.0606290627001602,10
"Gaussian",0.0253097255032241,0.0233432268564253,0.0258040122922882,15
"Laplace",0.0254773577382469,0.0300839341350278,0.0263314461158111,15
"Cauchy",0.0273844425263592,0.0848919773334019,0.0345363214568813,15
"Pareto",0.0256462494422694,0.0266091837734332,0.0263030056044732,15
"NND",0.0924628946495502,-0.0121815623135801,0.0924263593206508,15
"SS",0.0446662567940036,-0.101482029409229,0.0548755265734312,15
"Gaussian",0.0194498800001603,0.0391824095497437,0.0209462414582838,20
"Laplace",0.0199723148402916,0.046240175062403,0.0220705240004127,20
"Cauchy",0.0220563945402024,0.0999472644365013,0.0320017374194619,20
"Pareto",0.020567097326002,0.042469270891767,0.0223296021014282,20
"NND",0.087568542899953,0.0231690854215333,0.0879302123334234,20
"SS",0.040046129786811,-0.0787733353948794,0.0461712758964716,20
"Gaussian",0.021044216241063,0.035751770403244,0.0222803168955471,50
"Laplace",0.0209735920970103,0.0449321478408888,0.0229505428224118,50
"Cauchy",0.0224363759072323,0.101718345115024,0.0327381248883569,50
"Pareto",0.021228460905314,0.042621996841003,0.0230026385982178,50
"NND",0.0877505478091928,0.0118204356684892,0.0877147694129673,50
"SS",0.0414579415645779,-0.0820595789833326,0.0481088001843705,50
"Gaussian",0.0204188049716084,0.0304565178824086,0.0213055668431867,100
"Laplace",0.0208545468357611,0.0411587986017912,0.0225068844444324,100
"Cauchy",0.0228206421432886,0.0990842028176573,0.0325926801070127,100
"Pareto",0.0211509098974693,0.0388829458098265,0.0226204915525243,100
"NND",0.0878547088169951,-0.00845588258782012,0.0877505013497001,100
"SS",0.0404981002228129,-0.087984145646806,0.0481583139075657,100
