"type","variance","bias","mse","alpha.s"
"Gaussian",3.5271078936773,3.13552301557852,13.3515582591125,0.5
"Laplace",6.34120798326121,3.65988998372059,19.723320260233,0.5
"Cauchy",0.507609896512752,1.59675824453725,3.0562315682174,0.5
"Pareto",0.38009536495108,1.39082317087767,2.31372426687141,0.5
"NND",0.38702407368034,1.05989503417842,1.50962750900905,0.5
"SS",0.336161665871642,0.913855582565152,1.17062136832539,0.5
"Gaussian",1.76182018531446,1.75626889807501,4.84277698728945,0.75
"Laplace",2.94726793338632,1.55706030319243,5.36581018529724,0.75
"Cauchy",0.254970998825163,0.579491207210917,0.590271116062278,0.75
"Pareto",0.225192035246497,0.533931312837045,0.509824298003894,0.75
"NND",0.249645712861056,0.316384228582411,0.349245401531021,0.75
"SS",0.197966620663014,0.18490879763012,0.231761950862704,0.75
"Gaussian",1.17895852129928,1.06617051872384,2.31332017925255,1
"Laplace",0.654023471769196,0.72096436709536,1.17250504344687,1
"Cauchy",0.136637498571206,0.270371514047259,0.209464979182271,1
"Pareto",0.132623837074813,0.255420943760834,0.197598447912338,1
"NND",0.174141005663219,0.0915085814862314,0.182166544137515,1
"SS",0.123645246807289,-0.0255471543614642,0.124050613409643,1
"Gaussian",0.568151421939222,0.524910700197078,0.84254636227673,1.25
"Laplace",0.354700415682867,0.315601310586012,0.45359520209511,1.25
"Cauchy",0.085382925910766,0.124094148143287,0.100611517662352,1.25
"Pareto",0.0890652997418443,0.107357178023072,0.100412732815438,1.25
"NND",0.123951893643714,-0.0051964081886537,0.12373099251449,1.25
"SS",0.0848609985200685,-0.117883976869328,0.0985879085255566,1.25
"Gaussian",0.308578545011049,0.265933621703093,0.378682079073151,1.5
"Laplace",0.128775762464247,0.141718662641571,0.148602390280234,1.5
"Cauchy",0.0512043431774758,0.0822751118899559,0.0578711285276256,1.5
"Pareto",0.056933596787423,0.0513808807951297,0.0594597245051315,1.5
"NND",0.119027054124834,-0.0211664900040613,0.119237020315676,1.5
"SS",0.0670679229961285,-0.130328911016476,0.0839194121968767,1.5
"Gaussian",0.124134433853719,0.107073302082308,0.13535085700482,1.75
"Laplace",0.0623160470385363,0.0642744081400369,0.0663226144862112,1.75
"Cauchy",0.038920815339972,0.0778324770970189,0.04490086820035,1.75
"Pareto",0.0421429783161752,0.0322696289907647,0.0431000213147445,1.75
"NND",0.101542080185129,-0.0188688953800829,0.101695031237624,1.75
"SS",0.0545562357605367,-0.117923162638657,0.0683529955757188,1.75
"Gaussian",0.0195928101596609,0.0369158221767393,0.0209164024663263,2
"Laplace",0.0198118268079435,0.0476391795446634,0.0220416945820163,2
"Cauchy",0.0216971202359521,0.106500845694682,0.0329961561291626,2
"Pareto",0.0201629547850514,0.0451797104765277,0.0221638351142242,2
"NND",0.0804404052737748,0.0090928328290135,0.0803622040720836,2
"SS",0.0364853443023303,-0.0792880952145781,0.0426989756564816,2
