"bloco","inicio","fim","sim_otimo","alpha_otimo","beta_otimo","tipo_melhor","convergencia"
1,0,0.49,-0.731276192380841,1.91513431076585,0.0150848371922539,"heavy",0
2,0.01,0.5,-0.713720447488225,2.03673880848803,0.0183547121285825,"light",0
3,0.02,0.51,-0.701059259708804,1.7812636285055,0.0137167008318848,"heavy",0
4,0.03,0.52,-0.663048578930467,1.83015409334919,0.0162494940861443,"heavy",0
5,0.04,0.53,-0.650235464074447,2.27862987529202,0.0241448881984674,"light",0
6,0.05,0.54,-0.65397725249721,2.85171157161344,0.0344115017836153,"light",0
7,0.06,0.55,-0.679827311212797,2.47017486312915,0.0284864064734638,"light",0
8,0.07,0.56,-0.686241969126976,258.294103910313,6.29708079949937,"light",0
9,0.08,0.57,-0.745233263426535,1.58341065544516,0.0189072520152793,"heavy",0
10,0.09,0.58,-0.866204106062379,5.16396006354712,0.0756963983195046,"light",0
11,0.1,0.59,-0.815267344380594,1.86828026688438,0.0220777108614274,"heavy",0
12,0.11,0.6,-0.710444678352397,1.77137063652185,0.0288539041991096,"heavy",0
13,0.12,0.61,-0.679196501612441,2.26552586473394,0.0352222231140766,"light",0
14,0.13,0.62,-0.639597556339386,100.210429954219,1.65416945656566,"light",0
15,0.14,0.63,-0.618401880069971,299.48518434599,4.6406254770699,"light",0
16,0.15,0.64,-0.614575036230156,5.16186302508527,0.0685214938695778,"light",0
17,0.16,0.65,-0.635255490871768,4.52241546431071,0.0487433223947287,"light",0
18,0.17,0.66,-0.604431570657628,5.16148449162747,0.0591047008772834,"light",0
19,0.18,0.67,-0.595627588378396,5.16144779342365,0.0597559635822017,"light",0
20,0.19,0.68,-0.629377951824433,3.01962255764073,0.0255738058368767,"light",0
21,0.2,0.69,-0.637893893353582,5.16587455117705,0.0415102305923198,"light",0
22,0.21,0.7,-0.643334619475709,5.16588916288143,0.0414754478504561,"light",0
23,0.22,0.71,-0.688092333807305,3.34069672805935,0.0214300816104233,"light",0
24,0.23,0.72,-0.705245395336917,3.5617478131917,0.0238157884881624,"light",0
25,0.24,0.73,-0.676173690356341,5.16701327007785,0.0414931741524481,"light",0
26,0.25,0.74,-0.690211494473076,5.1662256633943,0.0405421362561995,"light",0
27,0.26,0.75,-0.701182827130914,2.19065760783819,0.0140058858818906,"light",0
28,0.27,0.76,-0.678102414911387,5.16634595065034,0.0404153744028413,"light",0
29,0.28,0.77,-0.684879513915171,5.1657202959126,0.0422105861548458,"light",0
30,0.29,0.78,-1.13306628498333,0.0876248112491404,1e-08,"heavy",0
31,0.3,0.79,-0.686034089031531,5.16628838213807,0.0422553928312678,"light",0
32,0.31,0.8,-0.667418296212415,5.16558655021812,0.0429212211583996,"light",0
33,0.32,0.81,-0.672152125539518,2.67251687849667,0.0210627949253063,"light",0
34,0.33,0.82,-0.671310044793684,5.16396434282446,0.0478839600896542,"light",0
35,0.34,0.83,-0.699365079010793,2.14588794387184,0.0198146580945758,"light",0
36,0.35,0.84,-0.759558393051631,372.743600845695,4.08500464975477,"light",0
37,0.36,0.85,-0.811609698905386,5.16585123485371,0.0409892553233763,"light",0
38,0.37,0.86,-0.823105174855315,2.50081480222278,0.0177541219815807,"light",0
39,0.38,0.87,-0.813766546425031,5.16514623306524,0.0466168183395457,"light",0
40,0.39,0.88,-0.83926363785067,2.13383651220705,0.0147528144578007,"light",0
41,0.4,0.89,-0.898432381699932,5.17217224689121,0.0378883345089816,"light",0
42,0.41,0.9,-0.904492139024023,5.17225502613389,0.0407042782846979,"light",0
43,0.42,0.91,-0.886467153670499,3.28074524966166,0.0251175249173162,"light",0
44,0.43,0.92,-0.855612868019569,5.16938100650973,0.0511410243719453,"light",0
45,0.44,0.93,-0.842161396893377,5.16916852351744,0.0550925701630765,"light",0
46,0.45,0.94,-0.849941604377743,7.51492671372099,0.0833168651323092,"light",0
47,0.46,0.95,-0.835539786480057,298.75020526438,4.13235131154936,"light",0
48,0.47,0.96,-0.838217491557359,338.665310207104,4.93816581946271,"light",0
49,0.48,0.97,-0.857081338445892,347.841178738577,5.77559732901832,"light",0
50,0.49,0.98,-0.895722596051193,326.541912777148,5.03265945085319,"light",0
51,0.5,0.99,-0.888655799428953,348.51175727277,5.64210514434272,"light",0
52,0.51,1,-0.84358404905957,271.448036362569,5.64624579547224,"light",0
53,0.52,1.01,-0.798526171643279,199.054652806367,4.74392308196261,"light",0
54,0.53,1.02,-0.772775576561404,311.959611086359,7.47930482719437,"light",0
55,0.54,1.03,-0.761202074627869,269.342961760969,6.05452595752779,"light",0
56,0.55,1.04,-0.744671186952169,294.996800252345,6.44874949753657,"light",0
57,0.56,1.05,-0.68661929009217,284.253217326446,7.45711673284898,"light",0
58,0.57,1.06,-0.648988979971859,266.584244656326,7.36707490135717,"light",0
59,0.58,1.07,-0.618204193746388,25.4426163020399,0.715862734090023,"light",0
60,0.59,1.08,-0.596646562808845,260.29192204649,8.32126913255227,"light",0
61,0.6,1.09,-0.587985245524625,275.324104544599,9.67332340461259,"light",0
62,0.61,1.1,-0.619944350202534,241.992446355622,9.51175022247046,"light",0
63,0.62,1.11,-0.625785695542795,265.514344219398,11.1040390606774,"light",0
64,0.63,1.12,-0.725070417246869,270.524229493896,7.90740888841779,"light",0
65,0.64,1.13,-0.677368584769271,281.148720653637,10.5230121138765,"light",0
66,0.65,1.14,-0.541985154652044,5.78528794963842,0.255164886291751,"light",0
67,0.66,1.15,-0.496825250448352,13.075055211561,0.677540520125061,"light",0
68,0.67,1.16,-0.445554575477646,215.417433916483,12.8257170251673,"light",0
69,0.68,1.17,-0.420895299762542,258.035504182312,14.5579607671957,"light",0
70,0.69,1.18,-0.409192523082611,216.135760221665,11.977876475658,"light",0
71,0.7,1.19,-0.394134531874713,237.022427773804,13.6044502171681,"light",0
72,0.71,1.2,-0.385360421152884,216.389178403908,12.5273428370595,"light",0
73,0.72,1.21,-0.381934772268056,257.511399423848,14.7880735175014,"light",0
74,0.73,1.22,-0.383346282492411,215.016837682301,12.0756126854939,"light",0
75,0.74,1.23,-0.393353852132688,169.102034657811,8.79692911498823,"light",0
76,0.75,1.24,-0.40619834162884,11.0784178377757,0.487781126139736,"light",0
77,0.76,1.25,-0.407507151409504,11.1846194481404,0.494923099107575,"light",0
78,0.77,1.26,-0.416935613183986,7.87918887552653,0.325033158768818,"light",0
79,0.78,1.27,-0.432430586239623,5.62861433832469,0.209456936728378,"light",0
80,0.79,1.28,-0.443046166386949,4.86004838938673,0.170751309442447,"light",0
81,0.8,1.29,-0.44930616620512,4.37472534447523,0.148955995893326,"light",0
82,0.81,1.3,-0.446144557862553,5.83293613584635,0.228581563839561,"light",0
83,0.82,1.31,-0.441435992975104,8.2011109045338,0.366058575330549,"light",0
84,0.83,1.32,-0.44178563193194,21.2082561194251,1.11619815828171,"light",0
85,0.84,1.33,-0.448259610058853,94.0194540363145,5.36003904072067,"light",0
86,0.85,1.34,-0.458606143417242,218.37144273026,13.1482442062067,"light",0
87,0.86,1.35,-0.485189739824462,198.456308094472,11.5304863748129,"light",0
88,0.87,1.36,-0.503779437145798,237.579755281954,13.4271929887697,"light",0
89,0.88,1.37,-0.519672147693085,83.6493090142579,4.43260586620693,"light",0
90,0.89,1.38,-0.532911998698181,13.3145493720984,0.61864664760407,"light",0
91,0.9,1.39,-0.532911998698181,13.3145493720984,0.61864664760407,"light",0
92,0.91,1.4,-0.52224805256994,15.4121003727747,0.739283404202722,"light",0
93,0.92,1.41,-0.506313685189408,24.3320151640985,1.24019987601012,"light",0
94,0.93,1.42,-0.505073487249198,8.11979128902295,0.353857716537142,"light",0
95,0.94,1.43,-0.505553345400612,7.20722506856066,0.303087999812257,"light",0
96,0.95,1.44,-0.50451485525401,7.73714715897133,0.331587015527692,"light",0
97,0.96,1.45,-0.505306369569072,6.79501596890117,0.280355593226298,"light",0
98,0.97,1.46,-0.504313985322711,7.66477267892711,0.327207849528673,"light",0
99,0.98,1.47,-0.504450006504188,7.57047003662327,0.321733006030795,"light",0
100,0.99,1.48,-0.510051901899302,4.88011282026429,0.175940863573716,"light",0
101,1,1.49,-0.497226530658874,5.98091278600092,0.236697742370421,"light",0
102,1.01,1.5,-0.504122849737986,4.7166587257639,0.169576113364303,"light",0
103,1.02,1.51,-0.517394083060468,6.9602683512626,0.289084451903631,"light",0
104,1.03,1.52,-0.545650411665771,5.45061198021234,0.204901873349988,"light",0
105,1.04,1.53,-0.588613663711918,3.73149293491427,0.111030813715433,"light",0
106,1.05,1.54,-0.591495012033373,4.11933098139848,0.128246945914339,"light",0
107,1.06,1.55,-0.559441540636597,4.65907189980245,0.163517334135528,"light",0
108,1.07,1.56,-0.524130123685276,7.72903322537721,0.329871164288064,"light",0
109,1.08,1.57,-0.495830944102518,43.5003355169276,2.27369554212939,"light",0
110,1.09,1.58,-0.475932681748042,158.407773589831,8.67876054861414,"light",0
111,1.1,1.59,-0.461877814238939,110.983826057786,6.22486435365083,"light",0
112,1.11,1.6,-0.452204267122179,219.566486917271,12.635690983142,"light",0
113,1.12,1.61,-0.446497320515338,232.216339839552,13.5262060787517,"light",0
