"bloco","inicio","fim","sim_otimo","alpha_otimo","beta_otimo","tipo_melhor","convergencia"
1,0,0.49,-1.33969563273467,0.870930118674395,0.00236512767516811,"heavy",52
2,0.01,0.5,-3.75197778234265,0.112102741896556,1e-08,"heavy",0
3,0.02,0.51,-1.27261177444562,1.4138238639943,0.00802421351069643,"heavy",0
4,0.03,0.52,-3.1779957312097,0.104347614153716,1e-08,"heavy",0
5,0.04,0.53,-1.26213471162228,1.27316366702639,0.00733746418877762,"heavy",0
6,0.05,0.54,-1.23669122374107,1.88781355175511,0.0152165287522922,"heavy",0
7,0.06,0.55,-1.25890180321408,2.33232427367034,0.0215909380131543,"light",0
8,0.07,0.56,-1.29069778447247,2.37610947786694,0.0226724258190342,"light",0
9,0.08,0.57,-1.31784747584439,2.46677393468717,0.0248727260559049,"light",0
10,0.09,0.58,-1.35729068275034,2.52674780718522,0.0249302470195216,"light",0
11,0.1,0.59,-1.41352409597047,2.20638565195091,0.0202351595724192,"light",52
12,0.11,0.6,-1.39031295011141,2.35817804745699,0.0253283887913981,"light",52
13,0.12,0.61,-3.61201559592103,0.107693971845033,1e-08,"heavy",0
14,0.13,0.62,-1.48308565020082,1.97698528598088,0.0206263569686568,"heavy",0
15,0.14,0.63,-1.39943988575852,0.957218756636166,0.00628236769683688,"heavy",0
16,0.15,0.64,-1.24709185954621,0.924330704673159,0.00783272484227214,"heavy",0
17,0.16,0.65,-3.41376308453028,0.104567712747763,1e-08,"heavy",0
18,0.17,0.66,-3.43214012204842,0.104261773683879,1e-08,"heavy",0
19,0.18,0.67,-3.48092034973304,0.104890360046776,1e-08,"heavy",0
20,0.19,0.68,-3.53120125182883,0.105471391743197,1e-08,"heavy",0
21,0.2,0.69,-3.60179935703065,0.106327830060504,1e-08,"heavy",0
22,0.21,0.7,-3.64244572459671,0.106959363755578,1e-08,"heavy",0
23,0.22,0.71,-3.65371227188925,0.106934378909239,1e-08,"heavy",0
24,0.23,0.72,-3.6575200150091,0.107050111394779,1e-08,"heavy",0
25,0.24,0.73,-3.17390601073099,0.100971648250085,9.99999999994061e-09,"heavy",0
26,0.25,0.74,-3.15825769000783,0.100878206311967,1e-08,"heavy",0
27,0.26,0.75,-3.18015374823206,0.101167348509037,1e-08,"heavy",0
28,0.27,0.76,-2.80263086004885,0.0387650905522703,1e-08,"heavy",0
29,0.28,0.77,-1.36815528225961,1.03847552146369,0.0091277134849093,"heavy",0
30,0.29,0.78,-1.3340288941766,1.10296215713313,0.0106886929179195,"heavy",0
31,0.3,0.79,-2.07440528822145,0.0911727032876972,1e-08,"heavy",0
32,0.31,0.8,-1.22072495791746,1.31216005061518,0.0180521559804139,"heavy",0
33,0.32,0.81,-1.1420670489382,1.4111757550548,0.0233786364366425,"heavy",0
34,0.33,0.82,-1.06717656575251,1.50839136373519,0.0290425528941726,"heavy",0
35,0.34,0.83,-0.996206003784178,1.59993000303929,0.0349189891084751,"heavy",0
36,0.35,0.84,-0.915517084649782,1.67336704968135,0.0418607571387145,"heavy",0
37,0.36,0.85,-0.854375845782013,1.69183581942485,0.043739199110344,"heavy",0
38,0.37,0.86,-0.823948843630118,1.52416483695066,0.0341529285728698,"heavy",0
39,0.38,0.87,-0.794457427387978,1.43315254027455,0.0292290604765352,"heavy",0
40,0.39,0.88,-0.746905805432018,1.53728978130719,0.0351912375580244,"heavy",0
41,0.4,0.89,-0.71237103523585,1.55228421008008,0.036579563692358,"heavy",0
42,0.41,0.9,-0.706219587495072,1.57656420358134,0.0379563858114424,"heavy",0
43,0.42,0.91,-0.70489402651117,1.61606105960261,0.0401599982531393,"heavy",0
44,0.43,0.92,-0.701728076756508,1.64640608198468,0.0418698799694239,"heavy",0
45,0.44,0.93,-0.692305977387403,1.64052400744532,0.0417161122379291,"heavy",0
46,0.45,0.94,-0.679174373118802,1.67086242384488,0.04361835439492,"heavy",0
47,0.46,0.95,-0.67336917541295,1.54850975087924,0.0366987979667022,"heavy",0
48,0.47,0.96,-0.671155889986008,1.58914274673647,0.0389958912032845,"heavy",0
49,0.48,0.97,-0.688650866888073,1.62139271064235,0.0408364005274034,"heavy",0
50,0.49,0.98,-0.721312296266145,1.51975856106364,0.0338667139135501,"heavy",0
51,0.5,0.99,-0.751650635427981,1.38650656848155,0.0259135736365395,"heavy",0
52,0.51,1,-0.761867921002932,1.31509546994244,0.022360430839689,"heavy",0
53,0.52,1.01,-0.751480178262531,1.31266138312096,0.0223627165348678,"heavy",0
54,0.53,1.02,-0.738886060970618,1.35973417703939,0.0244550982109708,"heavy",0
55,0.54,1.03,-0.727868161144022,1.32008492291339,0.022592681508173,"heavy",0
56,0.55,1.04,-0.726662887109439,1.27070477443681,0.020134790533609,"heavy",0
57,0.56,1.05,-0.726442897973974,1.21159832556082,0.0175087515440129,"heavy",0
58,0.57,1.06,-0.725192106166918,1.23357246878092,0.0182109076333692,"heavy",0
59,0.58,1.07,-0.727269259455114,1.21753646778908,0.0174470312788777,"heavy",0
60,0.59,1.08,-0.73504215416436,1.18394901437183,0.015965488240756,"heavy",0
61,0.6,1.09,-0.754242386748424,1.14181628087017,0.0141948156642928,"heavy",0
62,0.61,1.1,-0.780013787258254,1.03888556258386,0.0106473605578262,"heavy",0
63,0.62,1.11,-0.786455598115364,1.11165136454102,0.0126606843298508,"heavy",0
64,0.63,1.12,-0.788586737877515,1.15106069375157,0.0138625469225677,"heavy",52
65,0.64,1.13,-0.855931219014835,1.3726398816402,0.0177980818765707,"heavy",0
66,0.65,1.14,-0.957234371124227,2.9642166867651,0.0490879203894577,"light",0
67,0.66,1.15,-1.02477571707245,380.749319862435,5.92786018496755,"light",0
