"bloco","inicio","fim","sim_otimo","alpha_otimo","beta_otimo","tipo_melhor","convergencia"
1,0,0.49,-1.21945643279639,2.07068316036434,0.0263063955776832,"light",0
2,0.01,0.5,-1.22869699959032,2.21220317081466,0.0302195513301241,"light",0
3,0.02,0.51,-1.25964187611765,2.32812412059885,0.033705666788394,"light",0
4,0.03,0.52,-1.25196852242122,2.46136930732491,0.0383471309128377,"light",0
5,0.04,0.53,-1.24113112950399,2.62749753291586,0.0439613096722557,"light",0
6,0.05,0.54,-1.28995150272038,2.15316391689007,0.0286465889250806,"light",0
7,0.06,0.55,-1.43380703871842,7.73559830252335,0.126190122846901,"light",0
8,0.07,0.56,-1.55559511706561,137.039768812615,1.81020308381089,"light",0
9,0.08,0.57,-1.55217537600364,169.718013661414,2.30699277652179,"light",0
10,0.09,0.58,-1.55114203409545,292.205152672137,4.08868075331706,"light",0
11,0.1,0.59,-1.42092887254869,7.72782513152323,0.134722804942304,"light",0
12,0.11,0.6,-1.35257894142348,360.440543202373,6.31695191276096,"light",0
13,0.12,0.61,-1.37105250955073,142.381592273044,2.46802188391557,"light",0
14,0.13,0.62,-1.3313936258333,322.600077575095,6.24266305474862,"light",0
15,0.14,0.63,-1.33109166266034,326.861049889902,6.20664261433215,"light",0
16,0.15,0.64,-1.36977624144258,287.053386414697,4.98205647322842,"light",0
17,0.16,0.65,-1.38629297349206,284.542497168187,4.88630585496402,"light",0
18,0.17,0.66,-1.39556933061323,329.645086190494,5.95456176038725,"light",0
19,0.18,0.67,-1.41447087047813,298.275911591236,5.41919671707043,"light",0
20,0.19,0.68,-1.42221007455281,349.126483942112,6.12152923941647,"light",0
21,0.2,0.69,-1.42762626746722,300.917337036863,5.43699083897594,"light",0
22,0.21,0.7,-1.4447072776426,330.602806543806,6.10991470823578,"light",0
23,0.22,0.71,-1.461071173987,343.645767314933,6.2470389756613,"light",0
24,0.23,0.72,-1.46442058005808,235.841330822364,4.19552554009577,"light",0
25,0.24,0.73,-1.46775799142051,240.848809016662,4.06888856879237,"light",0
26,0.25,0.74,-1.46256906889267,334.36929922226,5.9839399097345,"light",0
27,0.26,0.75,-1.46371120178599,319.54864655388,5.78812728023611,"light",0
28,0.27,0.76,-1.46946553234579,344.144538913753,6.47550796993814,"light",0
29,0.28,0.77,-1.47173659647925,323.598966761466,6.06572406712614,"light",0
30,0.29,0.78,-1.43945753260305,297.063787853926,6.09241896613766,"light",0
31,0.3,0.79,-1.45227363579468,327.646248187648,6.45225311953283,"light",0
32,0.31,0.8,-1.43940764221366,222.697316750069,4.56071452607325,"light",0
33,0.32,0.81,-1.35154694188239,327.508885221875,8.22451558745295,"light",0
34,0.33,0.82,-1.30690160815221,266.156717822571,5.815137281958,"light",0
