"bloco","inicio","fim","sim_otimo","alpha_otimo","beta_otimo","tipo_melhor","convergencia"
1,0,0.49,-1.29016588571306,289.079098057474,3.06347722167844,"light",0
2,0.01,0.5,-1.28946158292659,396.124945364459,4.06425961695253,"light",0
3,0.02,0.51,-1.30681844883005,5.19935787983945,0.0482130396177167,"light",0
4,0.03,0.52,-1.30024388686245,446.044960007687,4.51312583133478,"light",0
5,0.04,0.53,-1.31104298803018,401.190630367469,4.01754807876616,"light",0
6,0.05,0.54,-1.28577742651676,353.973819973347,3.87921643073664,"light",0
7,0.06,0.55,-1.262275202398,405.697884961912,4.79190759794332,"light",0
8,0.07,0.56,-1.27048511167101,409.805582650269,4.95947196657677,"light",0
9,0.08,0.57,-1.30567166899778,408.550725509008,4.72035076911632,"light",0
10,0.09,0.58,-1.35857779535355,340.789287124669,3.77468621520583,"light",0
11,0.1,0.59,-1.41962899845521,348.471487857006,3.78614569095302,"light",0
12,0.11,0.6,-1.51397703104338,360.992985456042,3.47649433763267,"light",0
13,0.12,0.61,-1.55435600700679,3.13502022413217,0.0283152285250172,"light",0
14,0.13,0.62,-1.52445761792622,5.21559067544088,0.055628616809563,"light",0
15,0.14,0.63,-2.69711114598529,0.0989425444365565,1e-08,"heavy",0
16,0.15,0.64,-1.430415694079,1.51740590655126,0.012574682095939,"heavy",0
17,0.16,0.65,-2.65182066934,0.0982630195478937,1e-08,"heavy",0
18,0.17,0.66,-2.62320698312615,0.0976312740164238,1e-08,"heavy",0
19,0.18,0.67,-2.64946856188475,0.0978170626446243,1e-08,"heavy",52
20,0.19,0.68,-1.37645437102842,1.01218054645758,0.00917414455029973,"heavy",0
21,0.2,0.69,-3.66900592580884,0.109422927797166,1e-08,"heavy",0
22,0.21,0.7,-3.73233167436888,0.110491966671358,1e-08,"heavy",0
23,0.22,0.71,-3.04496663639663,0.0240343463043393,1e-08,"heavy",0
24,0.23,0.72,-3.80549372111302,0.111604551466816,1e-08,"heavy",0
25,0.24,0.73,-3.82386123227576,0.112289681642825,1e-08,"heavy",0
26,0.25,0.74,-3.81329684056052,0.112120536049945,1e-08,"heavy",0
27,0.26,0.75,-3.78314283462882,0.111751483032449,1e-08,"heavy",0
28,0.27,0.76,-1.51234578277443,0.868725534945395,0.00491342202339718,"heavy",52
29,0.28,0.77,-1.46278211825528,0.88235329482409,0.00522093656684178,"heavy",0
30,0.29,0.78,-1.40040352108055,0.947142151514895,0.00666237869335868,"heavy",0
31,0.3,0.79,-1.32286134844544,1.00411099848616,0.00852532781532965,"heavy",0
32,0.31,0.8,-1.23733778200044,1.05120922962484,0.0106339691054809,"heavy",0
33,0.32,0.81,-1.16925615413255,1.10059167558305,0.0122424679763216,"heavy",52
34,0.33,0.82,-1.11135400229283,1.13705579207305,0.0131447776115155,"heavy",0
35,0.34,0.83,-1.03688860556674,1.300798349547,0.0181216375763088,"heavy",0
