"bloco","inicio","fim","sim_otimo","alpha_otimo","beta_otimo","tipo_melhor","convergencia"
1,0,0.49,-0.383993635541344,2.8221304475653,0.0583024918753612,"light",52
2,0.01,0.5,-0.373657421450259,3.50169690539641,0.0713300839443072,"light",0
3,0.02,0.51,-0.391479891386679,2.03448044273282,0.0307972263788188,"light",52
4,0.03,0.52,-1.53172512683704,0.0915899701363194,1e-08,"heavy",0
5,0.04,0.53,-0.399246619816739,1.63204523617983,0.0207218127361924,"heavy",0
6,0.05,0.54,-1.5086117749594,0.0913323496986486,1e-08,"heavy",0
7,0.06,0.55,-0.420878942112373,1.55864178046385,0.0190136590021023,"heavy",52
8,0.07,0.56,-0.429465020017519,1.56695552393983,0.0195709413595479,"heavy",52
9,0.08,0.57,-0.460904420694037,1.59261646861794,0.0204608117075217,"heavy",0
10,0.09,0.58,-2.1420264259827,0.0970913057297155,1e-08,"heavy",0
11,0.1,0.59,-2.47549127723823,0.100134958680542,1e-08,"heavy",0
12,0.11,0.6,-0.58413546417037,1.26383094375615,0.0124002423517067,"heavy",52
13,0.12,0.61,-2.42823763980203,0.098732832705913,1e-08,"heavy",0
14,0.13,0.62,-0.559725161576105,1.16064175508372,0.010459623384847,"heavy",0
15,0.14,0.63,-0.410867897643694,0.947306028888984,0.00929424137779157,"heavy",0
16,0.15,0.64,-1.76087857845196,0.0920143742137676,1e-08,"heavy",0
17,0.16,0.65,-0.180727976298924,0.872562264788489,0.0121207905710457,"heavy",0
18,0.17,0.66,-1.13781206016688,0.0863659609443368,1e-08,"heavy",0
19,0.18,0.67,-0.22135906313904,0.897172111159698,0.0118187152795073,"heavy",0
20,0.19,0.68,-0.189226740643986,0.866727757620936,0.0124970348101253,"heavy",0
21,0.2,0.69,-0.211617686292653,0.860961129133418,0.011004944255977,"heavy",0
22,0.21,0.7,-0.196233454585293,0.911172098655015,0.0135619748663804,"heavy",0
23,0.22,0.71,-0.240625546115086,0.785744397949346,0.0089956502978539,"heavy",0
24,0.23,0.72,-1.26289406482263,0.0880505195879848,1e-08,"heavy",52
25,0.24,0.73,-1.16118711249912,0.049645114436792,1e-08,"heavy",0
26,0.25,0.74,-0.373520021442093,0.846407783052178,0.00811946618736251,"heavy",52
27,0.26,0.75,-1.30462366632474,0.0886879530529094,1e-08,"heavy",0
28,0.27,0.76,-1.33025105644902,0.0890792403444661,1e-08,"heavy",0
29,0.28,0.77,-1.35823510367361,0.0894217581547729,1e-08,"heavy",0
30,0.29,0.78,-1.8978453351723,0.0944765593324833,1e-08,"heavy",0
31,0.3,0.79,-1.93290875243535,0.094925589170812,1e-08,"heavy",0
32,0.31,0.8,-1.90770160654807,0.0944385389229483,1e-08,"heavy",0
33,0.32,0.81,-1.87791611511071,0.0939086210305637,1e-08,"heavy",0
34,0.33,0.82,-1.86210881672032,0.0937158815188957,1e-08,"heavy",0
35,0.34,0.83,-0.427388115060359,0.698049663718563,0.00469184084941184,"heavy",0
36,0.35,0.84,-1.33230226326409,0.0888101260753009,1e-08,"heavy",0
37,0.36,0.85,-0.842022513071088,0.085033283178155,1e-08,"heavy",0
38,0.37,0.86,-0.319144593751226,0.790591824306884,0.00664574057553437,"heavy",0
39,0.38,0.87,-0.850172659183395,0.0853393356817139,1e-08,"heavy",0
40,0.39,0.88,-0.312964464732472,0.778043974418808,0.00636429978630953,"heavy",0
41,0.4,0.89,-0.804040498818727,0.0847565061871794,1e-08,"heavy",0
42,0.41,0.9,-1.31317533094313,0.0888937373178716,1e-08,"heavy",0
43,0.42,0.91,-1.3344497558032,0.0888966931764578,1e-08,"heavy",0
44,0.43,0.92,-1.38470556026713,0.0894144296551821,1e-08,"heavy",0
45,0.44,0.93,-1.38900455868914,0.0888450112817231,1e-08,"heavy",0
46,0.45,0.94,-1.48190418323447,0.089768639555946,1e-08,"heavy",0
47,0.46,0.95,-1.57277585404604,0.0906436733458772,1e-08,"heavy",0
48,0.47,0.96,-2.09715908957054,0.0956141830820844,1e-08,"heavy",0
49,0.48,0.97,-2.63325817545497,0.101407648277728,1e-08,"heavy",0
50,0.49,0.98,-2.16528074252053,0.0963858266163077,1e-08,"heavy",0
51,0.5,0.99,-2.15771321021197,0.0962025620218268,1e-08,"heavy",0
52,0.51,1,-1.88694779505829,0.0939224055147779,1e-08,"heavy",0
53,0.52,1.01,-2.34302652139763,0.0986261560205778,1e-08,"heavy",0
54,0.53,1.02,-2.31622551064051,0.0982580136396948,1e-08,"heavy",0
55,0.54,1.03,-2.32216561008365,0.0983208663405214,1e-08,"heavy",0
56,0.55,1.04,-0.826613277573005,0.706127336639422,0.00311391354339706,"heavy",0
57,0.56,1.05,-2.31710365676277,0.0982564663980377,1e-08,"heavy",0
58,0.57,1.06,-2.822906671084,0.104116258878434,1e-08,"heavy",0
59,0.58,1.07,-2.81838084843703,0.103940355401689,1e-08,"heavy",0
60,0.59,1.08,-0.850304433389498,0.725718433278731,0.00325736011884824,"heavy",0
61,0.6,1.09,-2.31958953783628,0.0981449922057257,1e-08,"heavy",0
62,0.61,1.1,-2.27969387708856,0.097700805279357,1e-08,"heavy",0
63,0.62,1.11,-2.22851307897121,0.0969932321388956,1e-08,"heavy",0
64,0.63,1.12,-2.19047517440895,0.0966663861439749,1e-08,"heavy",0
65,0.64,1.13,-1.99977436334495,0.0465879775004605,1e-08,"heavy",0
66,0.65,1.14,-2.32584295017792,0.0989659054939401,1e-08,"heavy",0
67,0.66,1.15,-2.35171315983235,0.099239073367315,1e-08,"heavy",0
68,0.67,1.16,-0.988316977325879,1.2674652466974,0.00736694819127024,"heavy",0
69,0.68,1.17,-1.07379184052013,1.44390861243875,0.00776482392609448,"heavy",0
70,0.69,1.18,-1.11268594896221,1.22655132224764,0.00525943565372956,"heavy",0
71,0.7,1.19,-1.11485287499392,1.32390447325202,0.00633680244433711,"heavy",0
72,0.71,1.2,-1.13453929310511,1.23123516708503,0.00536061523421226,"heavy",0
