"bloco","inicio","fim","sim_otimo","alpha_otimo","beta_otimo","tipo_melhor","convergencia"
1,0,0.49,0.126552126844266,2.40694022176416,0.131946459876985,"light",0
2,0.01,0.5,0.11798423604719,1.9187229002739,0.0846653505118744,"heavy",0
3,0.02,0.51,0.111594697443977,1.70191547136202,0.0653577383066683,"heavy",0
4,0.03,0.52,0.106780757580645,1.5542706284923,0.0532148365471475,"heavy",0
5,0.04,0.53,0.114821515704192,1.73143447821306,0.0680309878235943,"heavy",0
6,0.05,0.54,0.0218822213314766,1.59888356791153,0.0463855294582133,"heavy",0
7,0.06,0.55,-0.134046639003752,11.7693459563215,0.451624097267403,"light",0
8,0.07,0.56,-0.135114879862216,8.86406067034537,0.325602638529892,"light",0
9,0.08,0.57,-0.226131519625048,10.0638800826195,0.270254461337081,"light",0
10,0.09,0.58,-0.233806009437899,29.5203268474712,0.88720377180872,"light",0
11,0.1,0.59,-0.0620358529750655,1.66689513443347,0.0436768236718077,"heavy",0
12,0.11,0.6,0.032472817244736,1.62597353635426,0.052987704159297,"heavy",0
13,0.12,0.61,0.0923655066254697,1.7469574156926,0.0695665428096782,"heavy",0
14,0.13,0.62,0.0961020493869213,1.66246531121,0.0623264614961638,"heavy",0
15,0.14,0.63,0.101767187230537,1.73388316533485,0.0691153263600543,"heavy",0
16,0.15,0.64,0.0999333051840401,2.21332956193287,0.11575651829531,"light",0
17,0.16,0.65,0.0563281612218952,1.7311375719633,0.0694213474722497,"heavy",0
18,0.17,0.66,0.0250872899966363,1.79471306854084,0.0741983160864795,"heavy",0
19,0.18,0.67,-0.0288544553542761,1.47855328086989,0.0463935889380991,"heavy",0
20,0.19,0.68,-0.061109654137956,1.57320203638847,0.053487379097818,"heavy",0
21,0.2,0.69,-0.109429778083376,1.44275320841715,0.0434557368701242,"heavy",0
22,0.21,0.7,-0.148215422594674,1.30298395715454,0.0332425854532038,"heavy",0
23,0.22,0.71,-0.147570896268426,1.33427123982677,0.0353886690656851,"heavy",0
24,0.23,0.72,-0.133529295368983,1.43684527561979,0.0423549423879526,"heavy",0
25,0.24,0.73,-0.141739505713287,1.45868513537324,0.0434097016597133,"heavy",0
26,0.25,0.74,-0.151474046074821,1.48593450668332,0.0451614895773015,"heavy",0
27,0.26,0.75,-0.164069590581374,1.4329203617942,0.0408944817525485,"heavy",0
28,0.27,0.76,-0.148290157389106,1.56265999086618,0.0506006734951484,"heavy",0
29,0.28,0.77,-0.148268530496577,1.49831683716818,0.0462120517808281,"heavy",0
30,0.29,0.78,-0.146652528773204,1.53708019870784,0.0493990360139421,"heavy",0
31,0.3,0.79,-0.147240638577596,1.5221479356899,0.0484743371350313,"heavy",0
32,0.31,0.8,-0.146340272954758,1.53422366751147,0.0493217925859714,"heavy",0
33,0.32,0.81,-0.123748888117742,1.63184639257228,0.0560995272225365,"heavy",0
34,0.33,0.82,-0.0845566508602736,1.82466171143428,0.0761538334902497,"heavy",0
35,0.34,0.83,-0.0587323089377005,1.76971683023599,0.0732465592747165,"heavy",0
36,0.35,0.84,-0.0111166898442152,1.93809634878,0.0934619221652187,"heavy",0
37,0.36,0.85,0.0157313884754786,1.96216593260414,0.0957273993743492,"heavy",0
38,0.37,0.86,0.0096124603888506,1.72578754777343,0.0706070965319031,"heavy",0
39,0.38,0.87,0.0198292395364822,1.81402794832888,0.0776784113213552,"heavy",0
40,0.39,0.88,0.0189777393764327,1.75417694374687,0.0722023133024203,"heavy",0
41,0.4,0.89,0.0129728665281164,1.73179153298947,0.0689371522669546,"heavy",0
42,0.41,0.9,0.0154422808794292,1.82633630616815,0.0764378633695811,"heavy",0
43,0.42,0.91,0.0193861695791569,1.82927773081325,0.0761667125891799,"heavy",52
44,0.43,0.92,0.0257537421968482,1.86040919068436,0.0787209782613146,"heavy",0
45,0.44,0.93,0.0344173882839771,1.89060213833314,0.0808646109418348,"heavy",0
46,0.45,0.94,0.034900682691669,1.78429502797559,0.0710448823778267,"heavy",0
47,0.46,0.95,0.0451438754738582,1.67848068632727,0.0625166809588229,"heavy",0
48,0.47,0.96,0.0842409851879092,1.80077674932241,0.0735718083392704,"heavy",0
49,0.48,0.97,0.102147794953072,1.78463844479736,0.0731181170863806,"heavy",0
50,0.49,0.98,0.127814272773464,1.77780461735482,0.0745479159849704,"heavy",0
51,0.5,0.99,0.156169854677276,1.7818534594089,0.0771064775693063,"heavy",0
52,0.51,1,0.181094268259418,1.82853689258924,0.0837631009705012,"heavy",0
