"bloco","inicio","fim","sim_otimo","alpha_otimo","beta_otimo","tipo_melhor","convergencia"
1,0,0.49,-1.89843887544241,2.06758417578282,0.0102553204556574,"light",52
2,0.01,0.5,-1.80391847654241,5.22504156252417,0.0382735303574193,"light",0
3,0.02,0.51,-1.75640549688371,5.22239270709557,0.037490781509049,"light",0
4,0.03,0.52,-1.70538737757358,5.22036849426922,0.038719004077205,"light",0
5,0.04,0.53,-1.72987967471059,5.22161960077986,0.0376448099216435,"light",0
6,0.05,0.54,-1.73792057659779,5.22227245679026,0.0373775089975103,"light",0
7,0.06,0.55,-1.73398998274711,5.22247388175343,0.0382372875068236,"light",0
8,0.07,0.56,-1.73461521126894,5.22290374138078,0.0392277394293023,"light",0
9,0.08,0.57,-1.72329909568068,5.22234107487788,0.0419424303365616,"light",0
10,0.09,0.58,-1.71778647978039,5.22198946525848,0.0449421623811099,"light",0
11,0.1,0.59,-1.75509874337618,5.22375267877319,0.0454541061367481,"light",0
12,0.11,0.6,-1.75481651871972,5.22401837911179,0.0437529412547625,"light",0
13,0.12,0.61,-1.75547980776316,5.22392534974015,0.0449515329595136,"light",0
14,0.13,0.62,-1.73154763234796,405.463692898177,4.01788474365298,"light",0
15,0.14,0.63,-3.34616266996676,0.104325168435775,1e-08,"heavy",0
16,0.15,0.64,-3.08696649263638,0.0515892211183131,1e-08,"heavy",0
17,0.16,0.65,-3.31665365023393,0.104605925825543,1e-08,"heavy",0
18,0.17,0.66,-3.27813182335248,0.103775135195487,1e-08,"heavy",0
19,0.18,0.67,-1.40422030756208,0.881057891883889,0.00569896790905762,"heavy",0
20,0.19,0.68,-1.38964269122724,0.904930139685553,0.006633735193926,"heavy",0
21,0.2,0.69,-3.31738653015915,0.103888499849786,1e-08,"heavy",0
22,0.21,0.7,-3.29689737783504,0.103651747604257,1e-08,"heavy",0
23,0.22,0.71,-3.73632954023504,0.109501520029387,1e-08,"heavy",0
24,0.23,0.72,-3.28565036445242,0.103804717286736,1e-08,"heavy",0
25,0.24,0.73,-3.01654171433071,0.101134239775333,1e-08,"heavy",0
26,0.25,0.74,-1.36049103908988,0.968788393379663,0.00798897453126374,"heavy",0
27,0.26,0.75,-1.35837384195642,0.956360832539788,0.00771617770134258,"heavy",0
28,0.27,0.76,-1.34872540263055,0.970552861442939,0.00807510091453448,"heavy",0
29,0.28,0.77,-1.34303065540813,0.955706257661213,0.00775155342218908,"heavy",52
30,0.29,0.78,-2.56905220876372,0.0961699078640137,1e-08,"heavy",0
31,0.3,0.79,-1.3140276908574,0.918666369998756,0.00321943921750942,"heavy",0
32,0.31,0.8,-2.83751883026725,0.0986289406610911,1e-08,"heavy",0
33,0.32,0.81,-1.32847300898686,0.996159917278916,0.00867763349326683,"heavy",0
34,0.33,0.82,-1.30820223677572,1.04738941920907,0.00993786941905362,"heavy",0
35,0.34,0.83,-2.26154198071968,0.0937094039497645,1e-08,"heavy",0
36,0.35,0.84,-1.77343847638176,0.0890433656021089,1e-08,"heavy",0
37,0.36,0.85,-1.23617658179133,1.09354724908573,0.0114101249124119,"heavy",0
38,0.37,0.86,-2.22876668065213,0.0936412451183873,1e-08,"heavy",0
39,0.38,0.87,-1.23496927186807,0.910659747646513,0.00686278337782153,"heavy",52
40,0.39,0.88,-1.20585719938905,0.994387311260584,0.00888178274616951,"heavy",0
41,0.4,0.89,-1.20740734703678,0.971301167361895,0.00829297316206492,"heavy",0
