"bloco","inicio","fim","sim_otimo","alpha_otimo","beta_otimo","tipo_melhor","convergencia"
1,0,0.49,-1.42830524382393,5.20556289171394,0.042558549966914,"light",0
2,0.01,0.5,-1.4786651671225,2.38259596422674,0.0175214523494709,"light",0
3,0.02,0.51,-1.52677088264851,2.23971114039169,0.015278072491681,"light",0
4,0.03,0.52,-1.5625127164859,2.0522725478066,0.0134729888428248,"light",52
5,0.04,0.53,-4.22698000136748,0.117964780351095,1e-08,"heavy",0
6,0.05,0.54,-4.72247377468082,0.12606064275418,1e-08,"heavy",0
7,0.06,0.55,-5.22357399763952,0.135552013543162,1e-08,"heavy",0
8,0.07,0.56,-5.26919072786126,0.136186359503425,1e-08,"heavy",0
9,0.08,0.57,-5.76207140269805,0.146931340079249,1e-08,"heavy",0
10,0.09,0.58,-6.29533177772909,0.160525686673722,1e-08,"heavy",0
11,0.1,0.59,-6.61947271947226,0.168040684975581,1e-08,"heavy",0
12,0.11,0.6,-6.63770642184144,0.168315181981969,1e-08,"heavy",0
13,0.12,0.61,-6.36105593861735,0.0671501296527151,1e-08,"heavy",0
14,0.13,0.62,-6.68895225631771,0.169616399788707,1e-08,"heavy",0
15,0.14,0.63,-6.71198060693816,0.16969114747432,1e-08,"heavy",0
16,0.15,0.64,-6.60413849305736,0.164974417168481,1e-08,"heavy",0
17,0.16,0.65,-6.57784220911172,0.163678875089807,1e-08,"heavy",0
18,0.17,0.66,-6.56549939589365,0.161960931945435,1e-08,"heavy",0
19,0.18,0.67,-6.93360016246611,0.171218982213869,1e-08,"heavy",0
20,0.19,0.68,-7.01824901543522,0.173781312491733,1e-08,"heavy",0
21,0.2,0.69,-7.10371594383695,0.176323522315544,1e-08,"heavy",0
22,0.21,0.7,-7.68984437391384,0.197705742997012,1e-08,"heavy",0
23,0.22,0.71,-7.7277252490422,0.198854211576433,1e-08,"heavy",0
24,0.23,0.72,-8.06624069292568,0.211998189917291,1e-08,"heavy",0
25,0.24,0.73,-8.02685096210271,0.209637541174479,1e-08,"heavy",0
26,0.25,0.74,-7.52240612103536,0.18931012597332,1e-08,"heavy",0
27,0.26,0.75,-7.49445628364796,0.18865808780224,1e-08,"heavy",0
28,0.27,0.76,-7.15650691949694,0.178255270479707,1e-08,"heavy",0
29,0.28,0.77,-6.82880243998627,0.169203037417211,1e-08,"heavy",0
30,0.29,0.78,-5.45287175429556,0.0233074065094701,1e-08,"heavy",0
31,0.3,0.79,-6.2083163659975,0.155947555612725,1e-08,"heavy",0
32,0.31,0.8,-5.8727549392269,0.148803376938025,1e-08,"heavy",0
33,0.32,0.81,-5.3477772862124,0.137023143770198,1e-08,"heavy",0
34,0.33,0.82,-4.82703681274191,0.127010438009977,1e-08,"heavy",0
35,0.34,0.83,-4.48425188541214,0.121956826948584,1e-08,"heavy",0
36,0.35,0.84,-3.95636558844724,0.113801411083056,1e-08,"heavy",0
37,0.36,0.85,-3.43394347494724,0.106859879152997,1e-08,"heavy",0
38,0.37,0.86,-2.97887119608113,0.102071492426275,1e-08,"heavy",0
39,0.38,0.87,-1.25017169934844,0.739227564976915,0.00293698509733369,"heavy",52
40,0.39,0.88,-1.17394385296307,0.736849057023164,0.00331590565799208,"heavy",52
41,0.4,0.89,-1.10248128558921,0.933673513848559,0.00624363225580209,"heavy",52
42,0.41,0.9,-1.05695999267994,1.04161419393757,0.00823150409261316,"heavy",0
43,0.42,0.91,-1.0115773563826,1.61803936212039,0.022249974590188,"heavy",0
44,0.43,0.92,-1.00383060783586,1.54070709677251,0.0203092894584731,"heavy",0
45,0.44,0.93,-1.0003900814873,1.84225533859994,0.0285604324847958,"heavy",0
46,0.45,0.94,-0.989060516432008,2.25475221218282,0.0406381694247544,"light",0
47,0.46,0.95,-0.981370819820291,2.07170529810653,0.0351306070952228,"light",0
48,0.47,0.96,-0.9597191543191,2.74384413858505,0.0560835614708716,"light",0
49,0.48,0.97,-0.972515987591374,2.13756457236801,0.0368889098920827,"light",0
50,0.49,0.98,-0.957555981966669,2.71174811878273,0.0549904078362494,"light",0
51,0.5,0.99,-0.93765435618479,3.21880372810683,0.0719932478169405,"light",0
52,0.51,1,-0.920275108707248,3.68041868740065,0.0877948450328306,"light",0
53,0.52,1.01,-0.911636520164624,3.02840760019792,0.0662161504426467,"light",0
54,0.53,1.02,-0.899102489862079,3.13231823433521,0.0698501591153412,"light",0
55,0.54,1.03,-0.89507042852248,2.39456998644942,0.045774466218688,"light",0
56,0.55,1.04,-0.89338042801786,1.88237376120419,0.0300443442881013,"heavy",0
57,0.56,1.05,-1.67986376649054,0.0366090944585657,1e-08,"heavy",0
58,0.57,1.06,-2.00654048832839,0.0931457826065451,1e-08,"heavy",0
59,0.58,1.07,-1.784834339715,0.0467739807691279,1e-08,"heavy",0
60,0.59,1.08,-0.904891844602979,1.42303974813646,0.0170575823339895,"heavy",0
61,0.6,1.09,-0.910377097973761,1.40239204115713,0.0164566376869005,"heavy",0
62,0.61,1.1,-0.905816179006394,1.84331231210909,0.028149685662251,"heavy",52
63,0.62,1.11,-0.906066035948739,1.83721624161582,0.0279686262222731,"heavy",0
64,0.63,1.12,-0.933093258463667,1.84955267840922,0.0283166694830212,"heavy",52
65,0.64,1.13,-0.940609877719065,1.99133076544012,0.0321607886739647,"heavy",0
66,0.65,1.14,-1.03210259714829,2.48694081745656,0.0405167113866721,"light",0
67,0.66,1.15,-1.16418451772301,49.3891766770336,0.907057384364112,"light",0
