"type","variance","bias","mse","gl"
"Gaussian",1.19287132089692,0.947417867303837,2.08808619354168,1
"Laplace",0.636165127113785,0.59025948109723,0.983299051884729,1
"Cauchy",0.149152296441543,0.147884438324052,0.17072379894708,1
"Pareto",0.14811733942349,0.134919860732237,0.166024473564649,1
"NND",0.181292768670117,-0.0168721762836305,0.181214853465323,1
"SS",0.137812459563188,-0.142655901596348,0.157887540904329,1
"Gaussian",0.15746210341231,0.204513920120526,0.19897312272855,2
"Laplace",0.0920616825251087,0.120072021578796,0.106294849526077,2
"Cauchy",0.0639516668720642,0.0947418542664302,0.0727997824881616,2
"Pareto",0.0680765215653481,0.0650646201904332,0.0721737733227427,2
"NND",0.11299410270538,-0.0257327456685512,0.113430288699612,2
"SS",0.0705388998922893,-0.124233337378333,0.0858317442086635,2
"Gaussian",0.0746730077495809,0.124589306717649,0.0900461570824662,3
"Laplace",0.0506166710467206,0.09012840812455,0.0586385676556926,3
"Cauchy",0.0420557065530067,0.107378854505155,0.0535018135347399,3
"Pareto",0.0439894571798122,0.0665967860900026,0.0483366101829701,3
"NND",0.100206135777861,0.0208591406586337,0.100440827255322,3
"SS",0.0542450984009628,-0.0861084793169908,0.0615512784144455,3
"Gaussian",0.0430830856274631,0.0562307575946148,0.0461588175558726,4
"Laplace",0.0346340846907823,0.0405149805043042,0.0362062801666649,4
"Cauchy",0.0324706595744176,0.0722355360817249,0.037623690928283,4
"Pareto",0.032852930532551,0.0264252221416961,0.0334855170367239,4
"NND",0.117091881897628,-0.0455486355819167,0.118932376337207,4
"SS",0.0550508460955506,-0.13430337389005,0.0729781406416101,4
"Gaussian",0.0432252903950814,0.0467590620900414,0.0453252497018316,5
"Laplace",0.034922506061722,0.0354744265912258,0.0361110959915748,5
"Cauchy",0.0333866010883417,0.0738757506782739,0.0387774544244435,5
"Pareto",0.0335031040026347,0.0246755625753635,0.0340449811830401,5
"NND",0.0917653974256833,-0.0157428063771287,0.0918297025834597,5
"SS",0.0481512470757042,-0.113756107819251,0.0609953966477378,5
"Gaussian",0.0251434671727601,0.0285435495001119,0.0259079144564799,10
"Laplace",0.0239349643487528,0.0321988325790663,0.0249238592395101,10
"Cauchy",0.0256352114376835,0.0825432230214493,0.0323973246815768,10
"Pareto",0.0246833777861279,0.0267885004270029,0.0253516347856832,10
"NND",0.0887693240041179,-0.0178392246754479,0.0889100232931308,10
"SS",0.0422478201881457,-0.108345158388893,0.0539019978940837,10
"Gaussian",0.0241733226504038,0.0391972796854721,0.0256614027398441,15
"Laplace",0.0240107161282444,0.0466126290799634,0.0261354318857341,15
"Cauchy",0.0260902229675413,0.100849377467747,0.0362086394572382,15
"Pareto",0.0246515700288649,0.0426508611347265,0.0264213628443409,15
"NND",0.0887782067639862,-0.00429548820546673,0.0886191015693815,15
"SS",0.0424300664998313,-0.0905343113216711,0.0505416678933209,15
"Gaussian",0.0191981755340375,0.0379884653370205,0.0206029026816314,20
"Laplace",0.019458208004013,0.0459979209143859,0.021535100316451,20
"Cauchy",0.0214274897944923,0.102359402845595,0.0318620821658101,20
"Pareto",0.0196872856235263,0.0431938737528583,0.0215136217820571,20
"NND",0.0836499860420208,0.00499457991866752,0.0835076318985007,20
"SS",0.038482772007907,-0.0853926115276241,0.0456977045673989,20
"Gaussian",0.0216906428175137,0.0390006067953255,0.0231683088622823,50
"Laplace",0.0225094797440809,0.0474999575408531,0.0247207067509756,50
"Cauchy",0.0254307507980738,0.103252423969369,0.0360409523520281,50
"Pareto",0.0231890894058369,0.0439717167443914,0.0250762231004743,50
"NND",0.100799891289182,0.0026453048600364,0.100605289144406,50
"SS",0.0472920344872409,-0.085450107055723,0.054499171214101,50
"Gaussian",0.0193790464271583,0.0228372350763411,0.0198618276402361,100
"Laplace",0.0194709890074282,0.03196500924816,0.0204538088456483,100
"Cauchy",0.0212783568542456,0.0884870134580929,0.0290657516912698,100
"Pareto",0.0196171591047198,0.0284395423082926,0.0203867323532156,100
"NND",0.0779488958656116,-0.00852975968848813,0.0778657548742237,100
"SS",0.0343725550899419,-0.094595441308429,0.0432521074960985,100
